Writer,Title,Song
Pagol Hasan,কলংকি,"আমারে কান্দাইয়া রে বন্ধু

কি সুখে ঘুমাও,

কলংকি বানাইলা রে বন্ধু

ঘাটে বাইন্ধা নাও আমায় ।।

আসমানে তোর বাড়ী বন্ধু

কোন জমিনে ঠিকানা,

এতো ভালোবাইসা ও তোর

মন পাইলাম না,

তোমারে দোষী বলি না

সবই আমার বাও ।।

হৃদ মাজারে পাই না তোরে

হারাইয়া করি দর্শন,

হইলা না রে সুজন বন্ধু

বিফল প্রেম সাধন,

পাগল হাসান ভাবে আপন

যতোই প্রেম খেলাও ।।"
Pagol Hasan,দয়াল,"দয়াল তোমার বাড়ি তোমার গাড়ি

তুমি তাতে হও ড্রাইভার,

আর আমরা সবাই পেসেঞ্জার ।।

দয়াল তোমার ভব ইষ্টিশনে,

আমরা সবাই পেসেঞ্জার ।।

বডিতে বেশ নকশা কাটা,

স্বরুপে সব আলোর ছটা,

কৌশলে বেশ দরজা কয়টা,

কইরাছো তৈয়ার,

আন্দরে তাই সদর কোটা,

এই দেহ অলির মাজার,

আমরা সবাই পেসেঞ্জার ।।

সর্বদা সু-পথ কু-পথে

চালাও চলি দিনে রাইতে

মবিল পেট্রোল হয়না নিতে

ফুরায়না বার বার ।

হাওয়াই তেল দমে দমেতে

আজব ট্যাংকি ভিতরে তার ।।

পাগল হাসান গাড়ি লইয়া

শেষ দিনের ইষ্টিশন যাইয়া,

কর্ম কালের ফানা চাইয়া দয়াল

কান্দিবে জার জার,

হিসাব নিকাশ সব কষিয়া

হই যদি গো গুনাহগার ।।"
Pagol Hasan,গ্রামে গঞ্জে,"গ্রামে গঞ্জে

কথা ও সুর : পাগল হাসান

শিল্পী : কিশোর পলাশ

গ্রামে গঞ্জে গেলে শুনি

ঢোল মন্দিরা ঝুনঝুনি,

শহরে অক্টোপ্যাড আর নাল

ও সোনারে. . . . . . . . .

বাজারে তাক ধুমা’ধুম তাল ।

ভাঁয়োলিন আর বাঁশিতে হয়

বিচ্ছেদ গানের সুর,

প্রেম বিরহী দেবদাস খোঁজে

পারু কত দূর ।

আমি খুঁজি মনের মানুষ

খুঁজতে তো আর নাই কোন দোষ

হইয়া বেহ্শু ঘটাইলাম জঞ্জাল ।

গানের ছন্দে বাউলা বন্ধে

আউলা হইয়া নাচে,

মন আনন্দে সোনা বন্ধে

ড্যান্স দিয়া জমাইছে ।

কোথা’ও বসে ফকির মেলা

সেইখানে আশেকের খেলা

যাত্রা বালায় বানাইছে মাতাল ।

যতই বলি আবোল-তাবোল

মূলে একটা খূঁটি,

তবল আর হারমোনিয়ামে

জীয়ন মরন জুঁটি

তাই ভাবিতে পাগল হাসান

দিন রজনী হয় অবসান

ডুবাইলো মান কীট-পতঙ্গের পাল ।"
Pagol Hasan,মাটির বালাখানা,"মাটির ও বিছানা, মাটির বালাখানা

নাই মশারি, কোল-বালিশ, কম্বল,

ও মন শোন মন মনুরা

মাটির ও পিঞ্জিরা,

ঠিকানা হইবো মাটির তল ।

অঙ্গে নয়া জোওয়ানি

খেলাও নাও দৌড়ানি

নয়া গাঁঙ্গে নয়া পানির ঢল ।

নয়া বসন্ত আইলো

নয়া কোকিল ডাকিল

নয়া প্রেমে হইয়াছ পাগল ।

মিছে তোর জমিদারি

সম্পদ সুন্দর নারী

টাকা কড়ি কইরাছ সম্বল ।

গায়ের পশম হইবে পর

বন্ধ কোঠা দালান ঘর

কার লাগিয়া বানাও রংমহল ।

আইবো’রে নিঠুর ও দিন

থাকবে না তোর নামের ছিন

দিনও হীন হাসান ভেবে পাগল ।

গলে পঁচে নিরাকার

দৌড় থামিবে দুই চাক্কার

মানব গাড়ি হইবোরে বিকল ।"
