Writer,Title,Song
Shohidul Islam,না না না তুমি এসো না,"না না না তুমি এসো না।

না না না না না তুমি এসো না।

আমার আঙ্গিনায় এসে হেসো না

ওগো অজানা তুমি অজানাই থাকো

না না না তুমি এসো না।

নাও না তুলে তুমি মায়াবী দুটি চোখ

পারি না তাকাতে ওগো কেঁপে উঠে বুক।

তুমি বুঝো নাকি কেন সরে থাকি।

তবু যে ডাকো হায়, আহ হা।।

এই তো ভাল আছি নেই যে পরিচয়

মরমে নেই আজ হারাবার ভয়।

কেন তবে এসে মধুমিতা বেশে।

দাঁড়িয়ে থাকো হায়, আহ হা।।"
Shohidul Islam,একটি মনের দাম দিতে গিয়ে,"একটি মনের দাম দিতে গিয়ে

জীবন চলার পথটি হারিয়ে

কি আমি পেলাম।।

কত যে কথা ছিল এই মনে

অচেনা মনের নিরব টানে।

আশায় আশায় কেন হারালাম

কি আমি পেলাম।।

মনে হয় তারে আমি পাব না

দেবার তো বাকী আর কিছু নেই

গরমিল হয়ে গেল হিসেবেই

পথ হারা আমি সেই ভাবনা

কত যে ভেবে চলেছি পথে

অজানা সে মন মনের সাথে।

মায়ায় মায়ায় কেন জড়ালাম।।"
Shohidul Islam,কথা বলো না বলো ওগো বন্ধু,"কথা বলো না বলো ওগো বন্ধু

ছায়া হয়ে তবু পাশে রইবো ও ও ও।।

আমি অভাগিনী শুধু যে তোমারই

যতই ব্যাথা দিবে সইবো।।

ছায়া হয়ে তবু পাশে রইবো

আমি কাদি শুনে হাসে বিশ্ব

কাছে তুমি প্রিয় তবু আমি নিঃস্ব।

কত বেদনা, কত বেদনা সয়েছে হৃদয়

কেমনে তোমায় আমি কইবো

ছায়া হয়ে তবু পাশে রইবো

কেন আমি অসহায়া জানি না

নিয়তির এ লেখা না না আমি মানি না।

মন বলে গো, মন বলে গো জীবনে কভু

তোমারই শুধু আমি হইবো।।"
