Writer,Title,Song
Nasir Uddin Khan,আজ তুমি দূর বহুদূর,"আজ তুমি দূর বহুদূর হারিয়ে ফেলেছি আমি সুর

জ্বলে গেছে অন্তর মরে গেছে চাওয়া

হবে না হবে না বুঝি আর কোন গান।।

কবিতার মতো করে বলতে কথা

সে কথাই বুকে বেজে দেয় যে ব্যথা

হৃদয়ের নোঙর ছিঁড়েছে বাঁধন

পাবে না পাবে না বুঝি জোয়ারের টান।।

ভাগ্যে ছিল বুঝি এই পরিহাস

ব্যথারই ধোঁয়ায় ঢাকা মেঘলা আকাশ

উঠেছে এমন ঝড় মরেছে জীবন

যাবে না যাবে না ভোলা তোমার এই দান।।"
Nasir Uddin Khan,হবে না হবে না দেখা সজনী গো,"হবে না হবে না দেখা সজনী গো

সজনী গো আর, সজনী গো আর

হবে না হবে না দেখা সজনী গো আর

তুমি বিনে সুখ নাই জীবনে আমার।।

যত আশা ছিল মনে সবই ভুলে যাই

তবু তুমি সুখী হও এই শুধু চাই।

ভুলে যেও হায় যদি মনটায়

ভেবো না ভেবো না তুমি কি হবে আমার।।

সুখের আশায় যত ছুটে বেড়াই

আধার থেকে আরো আধারে হারাই।"
