Writer,Title,Song
Meser Mondol,এমনও নিশিরাতে,"এমনও নিশিরাতে…

ও তুমি এসেছো বসেছো মোর পাশে,

মন আমার আনচান আনচান করে

ও বন্ধু ঠিক আছে… ঠিক আছে… ঠিক আছে…।

এমনও নিশিরাতে…

দেখা হলো আবার বন্ধু এত দিনের পরে,

ঘন সবুজ রাতের অরন্যে,

আমার শূন্য ঘরে

জ্বালো আলো আরো জ্বালো,

আলোয় আলোয় ভরে তোলো

ও এমনও নিশিরাতে…।

একলা ঘরে এলে তুমি আদিম গ্রন্থ হাতে

শোনাও বন্ধু কাব্য তোমার এই রাতে

যুগ-যুনান্ত ধরে…

ও বন্ধু ঠিক আছে… ঠিক আছে… ঠিক আছে…

ও এমনও নিশিরাতে…

ও এমনও নিশিরাতে…

ও তুমি এসেছো বসেছো মোর পাশে,

মন আমার আনচান আনচান করে

ও বন্ধু ঠিক আছে… ঠিক আছে… ঠিক আছে…।

এমনও নিশিরাতে…

এমনও নিশিরাতে…।"
Meser Mondol,সুধাংশু,"মনে পড়ে সুধাংশু,

সেই উনিশ পাঁচ দুই

মনে পড়ে সুধাংশু,

সেই উনিশ পাঁচ দুই

শ্লোগানে, মিছিলে এক সাথে ছিলাম,

সেই আমি আর তুই রে

সেই আমি আর তুই…

মনে পড়ে সুধাংশু,

সেই উনিশ পাঁচ দুই…

আমি ভুলি নাই… ভুলি নাই… ভুলি নাই তোরে…

আমি ভুলি নাই বাংলা মায়ের সাত কোটি সন্তানেরে

আমি ভুলি নাই রে……….

আমি ভুলি নাই রে…

ভুলি নাই তোরে…

মনে পড়ে সুধাংশু,

সেই উনিশ পাঁচ দুই…

ওরে একবার আসি একবার যাই

ওরে আমি একবার আসি একবার যাই….

যাইয়া দেখি বন্ধু তুই আজো ঘরে ফিরিস নাই

যাইয়া দেখি বন্ধু তুই আজো ফিরিস নাই….

মনে পড়ে বন্ধু,

মনে কি পড়ে তোর?

মনে পড়ে সুধাংশু,

সেই উনিশ সাত এক

দুজনার ছিলো কাধে কাধ,

আর হাতে ছিলো রাইফেল…..

সেই আমি আর তুই

সেই আমি আর তুই…

সেই আমি আর সেই তুই রে….

কাঁধে কাঁধ ছিল,

হাতে ছিল রাইফেল

সেই আমি আর তুই রে…

সেই আমি আর সেই তুই রে…

আমি ভুলি নাই… ভুলি নাই রে…

ভুলি নাই আমি বাংলা মায়ের সাত কোটি সন্তানেরে….

আমি ভুলি নাই রে….

আমি ভুলি নাই… ভুলি নাই… ভুলি নাই…

আমি ভুলি নাই তোরে…."
Meser Mondol,জাত যায়,"বাজো বিদ্যুৎ তার

বাজো বিদ্যুতে

বাজে জঞ্জাল হয়ে

বাজো উদ্ভট সুরে

বাজো গোলমাল

বাজো বেসামাল

করো তাল ভুল, তোলো ভুল সুর।।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

বিষাক্ত সুর তোলো সর্বনাশী

গলা ছাড়ো আবোল তাবোল

বাজাও ঢোলক কাঁপাও ভূলোক

জাগো বাঙালী

জাগাও বাঙালী

জাগো জাগো…. জাগো জাগো…

জাত যায় জাত যায় লোকে বলে…।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

হোক কোলাহল থাক পড়ে সব

ওরে ও ন্যাংটা ছেলের দল

পাগলা সুরের পাগলা হাওয়ায়

আরো ঘোলা হোক শান্ত নদীর জল

জাগো জাগো… জাগো জাগো…

জাত যায় জাত যায় লোকে বলে…।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

বাজো বিদ্যুৎ তার

বাজো বিদ্যুতে

বাজে জঞ্জাল হয়ে

বাজো উদ্ভট সুরে

বাজো গোলমাল

বাজো বেসামাল

করো তাল ভুল, তোলো ভুল সুর।।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।।।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।"
Meser Mondol,কথা,"কথা নয় মুখে মুখে

কথা হবে মনে মনে

কথা নয় মুখে মুখে

কথা হবে মনে মনে

দূরে কাছে…. যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা হবে পথে,

কথা হবে বিপথে,

কথা হবে নিরজনে।

কথা হবে পথে,

কথা হবে বিপথে,

কথা হবে…

ও নিরজনে…

দূরে কাছে… যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা হবে চোখে,

কথা হবে গোপনে,

কথা হবে প্রাণ খুলে।

কথা হবে চোখে,

কথা হবে গোপনে,

কথা হবে…

ও… প্রাণ খুলে।

দূরে কাছে… যত বন্ধু আছে….

কথা আছে…

কথা আছে তোমার সনে…

কথা নয় মুখে মুখে

কথা হবে মনে মনে

কথা নয় মুখে মুখে

কথা হবে মনে মনে

দূরে কাছে…. যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা আছে…

কথা আছে… তোমার সনে…

কথা আছে… কথা আছে…

কথা আছে তোমার সনে…

কথা আছে………….।"
Meser Mondol,শরাবে শরাব,"ডুবে আছি বিষে,

ডুবে আছি পাপে,

ঐ আমার এক পা কার্নিশে

আরেক পা শূন্যে।

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

মুঠো খুলে চেয়ে দেখি,

ওরে রেখায় রেখায় দুঃখ লেখা

মুঠো খুলে চেয়ে দেখি,

রেখায় রেখায় দুঃখ লেখা

বেদনার নদী বইছে আমার

বুকের ভেতর একা একা

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

দুচোখ বুঝে আজও দেখি

চোখের পাতায় স্বপ্ন আঁকা

দুচোখ বুঝে আজও দেখি

ওরে চোখের পাতায় স্বপ্ন আঁকা

স্বপ্ন মুছে গেলে আমার

পৃথিবীটা ভীষন ফাঁকা

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

ডুবে আছি বিষে,

ডুবে আছি পাপে,

ঐ আমার এক পা কার্নিশে

আরেক পা শূন্যে।

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…"
