Writer,Title,Song
Mujle Uddin,আকাশের ঐ মিটিমিটি তাঁরার সাথে,"আকাশের ঐ মিটিমিটি তাঁরার সাথে কইবো কথা

নাইবা তুমি এলে।

তোমার স্মৃতির পরশ ভরা

অশ্রু দিয়ে গাথবো মালা

নাইবা তুমি এলে

সেই শেফালীও সনে চুপি চুপি কথা

মন বাতায়নে সুরের জাল গাথা

আধো লাজে আধো ভয়ে

আমি কিছু বলিনি তো

তুমি কিছু জান নি তো

না বলা না জানার ব্যাথা

রয়ে গেল মনে মনে

জীবনের এই নিভে যাওয়া প্রদীপটুকু নাইবা জ্বলে

নাইবা তুমি এলে

সেই হারানো দিনগুলি

যদি মনে পড়ে

ভুলে যেও ওগো সবই চিরতরে

আমার গোপন ব্যাথা

তুমি কভু জেনো নাকো

আমায় কভু চেয়ো নাকো

না জানা না চাওয়ার কথা

মছে যাবে কোন ক্ষণে

সমাধির পরে মোর ঝরা বকুল মালা নাইবা দিলে

নাইবা তুমি এলে

তোমার স্মৃতির পরশ ভরা

অশ্রু দিয়ে গাথবো মালা

নাইবা তুমি এলে"
Mujle Uddin,ওগো সোনার মেয়ে যাও গো শুনে,"ওগো সোনার মেয়ে যাও গো শুনে

মৃদু কাকনের রিনিঝিনি বাজিয়ে

এসো কোমল পদভরে আমার কপোলে

মৃদু পরশ বুলিয়ে শুধু যাও গো বলে

ওগো দুষ্টু ছেলে আমি শুনবো না গো

তুমি আমার স্বপনে কেন আস গো

চুপি চুপি এসে কভু বলবো না গো

সেই গোপন কথাটি যাও যাও গো চলে।।

তুমি হেসে হেসে কথা বল যবে

মনের গহনে এক মাধুরী জাগে

কোন মধুর লাজে আমি চুপটি বসে

শরমে লুকায়ে আঁখি অনুরাগে

আকূল করা এই ব্যাকুলতা।

মনের মাঝারে এলো রঙ ছড়িয়ে

প্রিয় যাও গো শুনে, আমি শুনবো না গো

তুমি আমার স্বপনে কেন আস গো

চুপি চুপি এসে কভু বলবো না গো

সেই গোপন কথাটি যাও যাও গো চলে।।

অনেক কিছুই তো হলো যে বলা

এর চেয়ে বেশী কিছু বলবো না গো

আসল কথাটি তো হলো না বলা

রাত জাগা চোখে ঘুম আসবে না গো

আকূল করা এই ব্যাকুলতা।

হৃদয় আমার কেন দিলে রাঙ্গিয়ে

ওগো দুষ্টু ছেলে আমি শুনবো না গো

তুমি আমার স্বপনে কেন আস গো

চুপি চুপি এসে কভু বলবো না গো

সেই গোপন কথাটি যাও যাও গো চলে।।"
