Writer,Title,Song
Dipon,হেয়ালী,"মিথ্যারই বাহনে সোওয়ারী এই জীবন

পারবে কি কুয়াশা্র পথটাকে পেরোতে

যদি না জানা যায়

মিথ্যের পরিচয় কোন সময়

কখনো কি যাবে

সত্যকে চেনা এই জীবনে

আধাঁরে রাতজাগা পূজারী এই জীবন

তাকে কি নিষিদ্ধ পথ ডাকে এই রাতে

যদি না কেউ জানে

আলোর কি মানে এই ভুবনে

কখনো কি পাবে

আলোর ঠিকানা এই জীবনে

এ যে এক হেয়ালী

যার মানে কেউ জানে না

নিয়মহীন এক খেলা

যার নেই কোন সীমা

কে জানে

কে জিতে যাবে… এই খেলাতে

কে জানে

কে হেরে যাবে ….এই খেলাতে"
Dipon,সময়ের ছলনা,"একাকী হৃদয়ে থাকবে আর কতকাল

ছন্নছাড়া অভিমান

নিরালায় একাকী শুনবো আর কতকাল

অন্ধকারের কলতান

নেমেছি তাই আমি জীবনের পথে

বাতাসের কাকলী বলে যায় যে আমাকে

সময়ের ছলনায় ভুলে যাব অভিমান

সময়ের ছলনায় মুছে যাবে পিছুটান

দুঃস্বপ্নের দিন,থমকে যে যায়

শুধু অবিরাম সময় বয়ে যায়

কত বিষাদে কত বিরহে কত প্রহর কেতে গেছে

বোবা সময়ের মৃদু পরশে সব যন্ত্রনা মুছে গেছে

সময়ের ছলনায় ভুলে যাব অভিমান

সময়ের ছলনায় মুছে যাবে পিছুটান

নিঃসঙ্গ প্রাসাদে লিখব আর কতকাল

দীর্ঘশ্বাসের কবিতা

মেঘ ঢাকা আকাশে আঁকব আর কতকাল

রঙ্গহীন ধূসর জলছবি

সময়ের ছলনায় ভুলে যাব অভিমান

সময়ের ছলনায় মুছে যাবে পিছুটান"
