Writer,Title,Song
Pronob Roy,জীবনে যারে তুমি দাওনি মালা,"জীবনে যারে তুমি দাওনি মালা,

মরণে কেন তারে দিতে এলে ফুল

মুখপানে যার কভু চাওনি ফিরে,

কেন তারি লাগি আঁখি অশ্রু সজল।

চিরদিন যারে তুমি দিয়েছো হেলা,

হৃদয় লয়ে শুধু খেলেছো খেলা

বিরহে তারি আজি বলো গো কেন,

শূন্য লাগে এই ধরণী বিপুল।।

আমি তো ছিলাম প্রিয় তোমারই কাছে,

সেই বকুল তলে সেই চাঁদিনী রাতে

সেদিন কেন দিলে না তো হায়

যে মালাখানি ছিল তোমারই হাতে

মোর যত প্রেম, মোর যত গান,

চাইনি তো কভু কোনো প্রতিদান

চিরতরে হায় যবে নিলাম বিদায়, (আমি)

তুমি বুঝিলে কিগো তব হৃদয়ের ভুল।।"
Pronob Roy,মধুর আমার মায়ের হাসি,"মধুর আমার মায়ের হাসি

চাঁদের মুখে ঝরে

মাকে মনে পড়ে আমার

মাকে মনে পড়ে ।।

তার মায়ায় ভরা সজল বীথি

সেকি কভু হারায়

সে যে জড়িয়ে আছে

ছড়িয়ে আচ্ছে

সন্ধ্যা রাতের তারায়

সেই যে আমার মা ।।

বিশ্ব ভূবন মাঝে তাহার নেই কো তুলনা

মধুর আমার মায়ের হাসি

চাঁদের মুখে ঝরে

মাকে মনে পড়ে আমার

মাকে মনে পড়ে ।।

তার ললাটের সিঁদুর দিয়ে

ভোরের রবি উঠে

আলতা পড়া পায়ের ছোয়ায়

রক্ত কমল ফোটে ।।

প্রদীপ হয়ে মোর শিয়রে

কে জেগে রয় দুখের ঘরে

সেই যে আমার মা ।।

বিশ্ব ভূবন মাঝে তাহার নেই কো তুলনা

মধুর আমার মায়ের হাসি

চাঁদের মুখে ঝরে

মাকে মনে পড়ে আমার

মাকে মনে পড়ে ।।"
