Writer,Title,Song
Rifat Alom,তোমায় ঘিরে,"তোমায় ঘিরে যে ভাল লাগা

হয়নি বলা ভাষায়

হাজার ভিড়ের মাঝে খুঁজে পাওয়া

সেই তুমি আজ কোথায়?

তোমাকে নিয়ে সেই স্মৃতিরা

শুধু খুঁজে ফেরে আমাদের

কি যেন কি ভেবে আছো সুদূরে

এসো না ফিরে হৃদয়ে

সময় জুড়ে শুধু শুন্যতা

নীরবে ছুঁয়ে থাকে

ভুলেও আমি ভাবিনি হারাবো

কখানো তোমায় এভাবে

তোমাকে নিয়ে স্বপ্নগুলো

আজও খুঁজে ফেরে আমাদের

কি যেন কি ভুলে হারিয়ে গেলে

এসো না ফিরে হৃদয়ে।

মনের আকাশে মেঘের ভেলায়

বেদনা বৃষ্টি ঝরে

এত কাছে ছিলে তবুও

পাইনি কেন তোমায় বোঝাতে

তোমাকে নিয়ে স্বপ্নগুলো

আজও খুঁজে ফেরে আমাদের

কি যেন কি ভেবে হারিয়ে গেলে

এসো না ফিরে হৃদয়ে"
Rifat Alom,মেঘের পরে আলোর ভীড়ে,"বুঝিনি এতটুকু তোমাকে

হারিয়েছিলাম স্বপ্নের ঘোরে

কতটা পথ ঘুরে এসেছি

তুমি বন্ধু আমার ছিলে পাশে

মেঘের পরে আলোর ভীড়ে

তুমি প্রথম চেয়েছিলে

বুঝিনি আমি তোমাকে দেখে

রেখেছ যে কত মায়া-প্রেম

বুঝতে দাও নি কোন আমাকে

সাজিয়েছ যা হৃদয়ে

ছাঁয়া হয়ে ছিলে পাশে

বল কি করে যাব তোমায় রেখে"
