Writer,Title,Song
Tuhin,পরিচয়,"দেহের ভিতর রাখলাম যারে, সে আমার থাকল না রে

খাঁচার পাখি কখন কি আর

মনের পাখি হয় ?

তোমার আমার এই পরিচয়

সত্যি কি আর হয়।

কথায় কথায় মনের ছায়া, মিথ্যে আশায় দিচ্ছে মায়া

অবাক আলোয় বনের পাখি, মনের কথা কয়

বনের পাখি খাঁচায় থাকে, এমন কি আর হয়

তোমার আমার এই পরিচয়

সত্যি কি আর হয়।

লালন বলে খাঁচার কি দোষ, দুয়ার থাকলে খোলা

মনের দুয়ার বন্ধ হলে, সময় যে সব যাবে চলে

লোহার খাঁচার ছোট্ট ঘরে

কোন পাখি কি আর রয় ?

আট কুঠুরি নয় দরজা, সে তো খোলার নয় ……

তোমার আমার এই পরিচয়

সত্যি হবার নয়।"
Tuhin,সূর্য,"অচিন পাখি দিল ফাঁকি, উদাস বাউল কাকে ডাকি

জলের মাঝে জীবনগুলো, তেপান্তরের পাথর ধুলো

সাগর তীরের জীবন দেয়াল,

সূর্যটাকে রাখিস খেয়াল

গাছের চূড়ায় নতুন শহর, নদী পানি ফুলের বহর

সময় কাঁটা আতশবাজি, কাঁটাতারে বৃক্ষরাজি

স্বপ্ন দহণ পূণ্য না সয়

সত্যবচন ধর্মে না রয়

কথার মাঝে নোনা দেয়াল

সূর্যটাকে রাখিস খেয়াল

কল্প সাধন মাতাল হাওয়া, আপন পথে হারিয়ে যাওয়া

জীবন দেখার অবাক টানে, সরল রেখার অন্য মানে

তোমার আমার কাঁচের দেয়াল

সূর্যটাকে রাখিস খেয়াল"
