Writer,Title,Song
Mira Deb Bormon,ঘাটে লাগাইয়া ডিঙ্গা পান খাইয়া যাও,"ও…ও বাঁশী

ঘাটে লাগাইয়া ডিঙ্গা পান খাইয়া যাও

বাঁশী আল্লাহ’র দোহায়

এই পরানের বিনিময় তোমার পরান দিও বাশী

আল্লাহ’র দোহায়…

ও…ও বাঁশী

বানের টানে টানে আইসো আমার পাণে

মধু লাগাইও মনে মজিও পানের গুনে আসিও ।।

আমার রঙ্গে পানের রঙ্গে রাঙ্গা হইও বাঁশী

আল্লাহ’র দোহায়…

ও…ও বাঁশী

ঘাটে আসিও পিড়ি পেতে দেব পাশে বসাব

মুখেতে পান দিব দিব রে

অন্যের হাতের পান ছাইড়া

আমার হাতের পান খাইয়ো ……

ও…ও বাঁশী

নাহি পান পানি দিনের পাখানি আছে

জগতে জানি আসিও গুল মনি আসিও

কোন রসেতে ডুইবা তুই দিনের অধিকারী

দিনের অধিকারী হইও…"
Mira Deb Bormon,বর্ণে গন্ধে ছন্দে গীতিতে,"বর্নে গন্ধে ছন্দে গীতিতে

হৃদয়ে দিয়েছো দোলা

রঙেতে রাঙিয়া রাঙাইলে মোরে

একি তব হরি খেলা

তুমি যে ফাগুন

রঙেরও আগুন

তুমি যে রসেরও ধারা

তোমার মাধুরী তোমার মদিরা

করে মোরে দিশাহারা

মুক্তা যেমন শুক্তিরও বুকে তেমনি আমাতে তুমি

আমার পরাণে প্রেমের বিন্দু তুমি শুধু তুমি

প্রেমের অনলে জ্বালি যে প্রদীপ সে দীপেরও শিখা তুমি

জোনাকি পাখায় ঝিকিমিকি নেচে এ রীতি নাচালে তুমি

আপনও হারায়ে উদাসী প্রানের লহগো প্রেমান্জলি

তোমারে রচিয়া ভরেছি আমার বাউল গানের ঝুলি

মুক্তা যেমন শুক্তিরও বুকে তেমনি আমাতে তুমি

আমার পরাণে প্রেমের বিন্দু তুমি শুধু তুমি

চমকি দেখিনু আমার প্রেমের জোয়ারও তোমারই মাঝে

হৃদয় দোলায় দোলাও আমারে তোমারও হিয়ারিই মাঝে

তোমারও প্রানের পুলকও প্রবাহ নিশীথে চাহিয়া মাতে

যত মোর নাম গাহ মোর গান আমারই একতারাতে

মুক্তা যেমন শুক্তিরও বুকে তেমনি আমাতে তুমি

আমার পরাণে প্রেমের বিন্দু তুমি শুধু তুমি"
Mira Deb Bormon,কে যাস রে ভাটি গাঙ বাইয়া,"কে যাস রে ভাটি গাঙ বাইয়া

আমার ভাইধন রে কইয়ো, নাইওর নিতো বইলা

তোরা কে যাস কে যাস…।।

বছর খানি ঘুইরা গেল, গেল রে

ভাইয়ের দেখা পাইলাম না, পাইলাম না

কইলজা আমার পুইড়া গেল, গেল রে

ভাইয়ের দেখা পাইলাম না, পাইলাম না

ছিলাম রে কতই আশা লইয়া

ভাই না আইলো গেল গেল, রথের মেলা চইলা

তোরা কে যাস কে যাস……

প্রাণ কান্দে , কান্দে

প্রান কান্দে কান্দে প্রান কান্দে রে, প্রান কান্দে

নয়ন ঝরে ঝরে নয়ন ঝরে রে, নয়ন ঝরে

পোড়া মনরে বুঝাইলে বুঝে না

কান্দে কান্দে প্রান কান্দে

সুজন মাঝিরে ভাইরে কইয়ো গিয়া

না আসিলে স্বপনেতে দেখা দিত বইলা

তোরা কে যাস কে যাস……

সিঁন্দুরিয়া মেঘ উইড়া আইলো রে

ভাইয়ের খবর আনলো না, আনলো না

ভাটির চরে নৌকা ফিরা আইলো রে

ভাইয়ের খবর আনলো না, আনলো না

নির্দয় বিধি রে তুমিই সদয় হইয়া

ভাইরে আইনো নইলে আমার পরান যাবে জ্বইলা

তোরা কে যাস কে যাস……

কে যাস রে ভাটি গাঙ বাইয়া

আমার ভাইধন রে কইয়ো, নাইওর নিতো বইলা

তোরা কে যাস কে যাস |"
