Writer,Title,Song
M S Hedayet,মাগো ধন্য হল জীবন আমার তোমায় ভালবেসে,"মাগো ধন্য হল জীবন আমার তোমায় ভালবেসে

আমি প্রাণ পেয়েছি মান পেয়েছি তোমার কোলে এসে।।

তোমার আশিস পেলে জানি সবকিছু যে মেলে

তোমার হাসি তোমার খুশি ধানের বুকে মেশে।।

তুমি আমার ধাত্রী মাগো তুমি আমার দেশ

খেত-খামারে মাগো তোমার সোনার বরন বেশ।

সোনা তোমার মাটি সে যে সোনার চেয়েও খাঁটি

সকল আঁধার যায়গো ঘুচে কালো রাতের শেষে।।"
M S Hedayet,একটি মনের আশীষ তুমি,"একটি মনের আশীষ তুমি

কাছে যখন এলে।

নিলেম তোমায় নিবিড় করে

মনের মাঝে তুলে।।

মেঘলা চোখের দৃষ্টি তোমার

আনলো যে আজ শপথ আবার।

চলার পথে আলোর মানিক

ছড়িয়ে যেন ফেরে।।

ছন্দময়ী বন্ধু বেশে

থাকবে তুমি আমার পাশে।

চাওয়া পাওয়ার হিসেব কষে

নাইবা কিছু দিলে।।"
M S Hedayet,আবার এলো যে সন্ধ্যা,"আবার এলো যে সন্ধ্যা, শুধু দু’জনে

চলো না ঘুরে আসি অজানাতে

যেখানে নদী এসে থেমে গেছে।।

ঝাউবনে হাওয়াগুলো খেলছে

সাঁওতালি মেয়েগুলো চলছে

লাল লাল শাড়ীগুলো উড়ছে

তার সাথে মন মোর দুলছে।

ঐ দুর আকাশের প্রান্তে

সাত রঙা মেঘ গুলো উড়ছে।।

এই বুঝি বয়ে গেল সন্ধ্যা

ভেবে যায় কি জানি কি মনটা

পাখিগুলো নীড়ে ফিরে চলছে

গানে গানে কি যে কথা বলছে

ভাবি শুধু এখানেই থাকবো

ফিরে যেতে মন নাহি চাইছে।।"
