Writer,Title,Song
Niaz Mohammad Chowdhury,ডেকো না পিছু ডেকো না,"ডেকো না পিছু ডেকো না তাকে আর

শেষ কথাটি যার বলা হলো না।

কুহেলিকা ঢাকা পথে অজান্তে

না জানি চলেছে আজ কোন সে প্রান্তে

তার পানে চেয়ে তার কথা ভেবে

আজানা ঠিকানায় চেয়ে থেকো না

ভুল কী ছিল তার জেনেও জানোনি

ছিল তো সময় তবুও ফিরেয়ে আননি

আর কাছে টেনে আর ভালবাসে

হৃদয়-মণিকোঠে ধরে রেখো না।।"
Niaz Mohammad Chowdhury,ঝর ঝর বৃষ্টি তুমি ঝরো না,"ঝর ঝর বৃষ্টি তুমি ঝরো না

থেমে যায় মেঘ যদি তুমি থেমো না।।

যেওনা সজনি তুমি কারো আলাপন

পলক ছায়াতে ওগো থাকো সারাক্ষণ

আমার এ দু’চোখে তুমি চেয়ে দেখো না।।

এমন বরষা দিনে কী জানি কী হয়

বারেবারে মনে পড়ে সেই পরচয়

আমারই ভুবনে এসে চলে যেও না।।"
Niaz Mohammad Chowdhury,চলে গেছে যে চলে যাবে সে,"চলে গেছে যে চলে যাবে সে

খুঁজে কি বলো পাবে তারে

স্মৃতি শুধু জেগে রয় স্বপন আকাশে।

এমনি এক রাতে, কে যেন আমায় ডাকে।

জ্যোছনাকে তাই বলো তুমি লুকিয়ে যেন না থেকে

পিউ পিউ মুরছায় সুরের আভাসে।

ফাগুন যদি আসে পথচেনা সেই বাঁকে

কৃষ্ণচূড়া তাই বনে বনে আবির ছড়ায়ে রাখে

মহুর্মুহু দোলা দেয় দক্ষিণা বাতাসে।।"
