Writer,Title,Song
Ashraf Hossain,উদীচী এমনই এক আয়না,"আরশির সামনে একা একা দাঁড়িয়ে

যদি ভাবি কোটি জনতার মুখ দেখব__

হয় না হয় না হয় না ___

কে বলেছে হয় না এসো এই মঞ্চে

উদীচী এমনই এক আয়না ।।

সত্যেন রণেশের আঁকা পদচিহ্ন

লাল খামে বাঙালির ঠিকানা অভিন্ন

কানাগলি রাজপথ মিশেছে সেই মোহনায়

অন্য পথের দিশা চাই না।।

প্রগতির মিছিলে এই নবমাত্রা

শুরু হোক অনিয়ম ভাঙবার যাত্রা

থেমে থাকা আর নয় এখনি সে সময়

যুদ্ধে যাবার দেরি সয় না।।"
Ashraf Hossain,ও আমার সোনার স্বদেশ ভুমি,"ও আমার সোনার স্বদেশ ভুমি।

আছ স্বপনে আর চেতনে।

আজ মুগ্ধ আমার মন তাই অন্ধ দু’নয়ন।।

পাহাড়ের নীল চূড়াতে রঙ ছড়াতে

উদাস মেঘের দল

রোদের আলোয় সোনার আভা ছড়ায় অবিরল

(যদি) সে রঙ মাখি নিজের মনে। জাগে শিহরণ।।

সাগরের ঢেউ ছুটে যায় দমকা হাওয়ায় উঠে মাতাল ঝড়

ভাঙ্গা বুকে গড়ে আবার নতুন করে ঘর।

(এমন) উতল ঝড়ে ভেঙ্গেও তবু। আশায় জাগে মন।।"
