Writer,Title,Song
Sochin Deb Bormon,তাকডুম তাকডুম বাজাই বাংলাদেশের ঢোল,"তাকডুম তাকডুম বাজাই

আমি তাকডুম তাকডুম বাজাই

বাংলাদেশের ঢোল

সব ভুলে যাই

তাও ভুলি না বাংলা মায়ের কোল

বাংলা জনম দিলা আমারে ।।

তোমার পরান আমার পরান

এক নাড়িতে বাঁধা রে

মা-পুতের এ বাঁধন ছেড়ার

সাধ্য কারো নাই

সব ভুলে যাই

তাও ভুলি না বাংলা মায়ের কোল

মা তোমার মাটির সুরে সুরেতে ।।

আমার জীবন জুড়াইলা মাগো

বাউল ভাটিয়ালিতে

পরান খুইলা মেঘনা তিতাস

পদ্মারই গান গাই

সব ভুলে যাই

তাও ভুলি না বাংলা মায়ের কোল

বাজে ঢোল নরম গরম তালেতে

বিসর্জনের ব্যাথা ভোলায়

আগমনের সুরেতে

বাংলাদেশের ঢোলের বোলে

ছন্দ পতন নাই

সব ভুলে যাই

তাও ভুলি না বাংলা মায়ের কোল"
Sochin Deb Bormon,তুমি এসেছিলে পরশু কাল কেন আসোনি,"তুমি এসেছিলে পরশু কাল কেন আসোনি

তুমি কি আমায় বন্ধু কাল ভালবাসনি ।।

নদী

নদী যদি হয়রে ভরাট কানায় কানায়

হয়ে গেলে শূন্য হটাৎ তাকে কি মানায়

তুমি কি আমায় বন্ধু কাল মনে রাখ নি

কাল কেন আসোনি কাল ভালবাসনি

তুমি এসেছিলে পরশু কাল কেন আসোনি

আকাশে ছিল না বলে হায় চাঁদের পালকি

তুমি হেঁটে হেঁটে সন্ধায় আসোনি কাল কি ।।

তুমি কি আমায় বন্ধু কাল অভিলাস নি

কাল কেন আসোনি

তুমি এসেছিলে পরশু কাল কেন আসোনি

বনে

বনে বনে পাখি ডেকে যায় আবোল তাবোল

থেকে থেকে হাওয়া ডেকে যায়

দিয়ে যায় দোল ।।

তুমি কি আমায় বন্ধু একবারও ডাক নি

কাল কোন আসোনি কাল ভালবাসনি

কাল ভালবাসনি"
