Writer,Title,Song
Pobitro Mitro,যদি গো কাছে আসি ফিরায়ো না অভিমানে,"যদি গো কাছে আসি ফিরায়ো না অভিমানে,

আমি কেন আসি হায়, সে তো শুধু হিয়া জানে।।

আজি এই নিরালাতে চাঁদ জাগা মধুরাতে

তব আঁখি দুটি কি গো চাহিবে না মোর পানে।।

মোর মনোবনে যত ফুল ফোটে সে কী শুধু অকারণে,

সে কি ওগো হায় ঝরে যাবে আজি ব্যথার অশ্রুসনে ?

তাই শুধাই মানসী প্রিয়া আজি জাগে না কি তব হিয়া,

মনের মুকুল কি গো ফুটিবে না মোর গানে।।"
Pobitro Mitro,"ও বন্ধু, এই বকুলঝরা শ্রাবণ রাতে","ও বন্ধু, এই বকুলঝরা শ্রাবণ রাতে বলব ভাবি কারে

যে কথাটি চোখের জলে ভাসে বারে বার।।

হয় না বলা যায় যে রাতি প্রহর গুণে গুণে

প্রভাত হল এমনি করেই আশারই জাল বুনে

যাবার বেলায় বলব বলো সেই কথাটি কারে?

অনেক দিনের স্বপ্ন অনেক অশ্রু হয়ে ঝরে

জানি কি সে শুধু ওগো সে যে তারই তরে।

অস্তরবির স্বর্ণলেখায় রয় যে কথা লেখা

সাঁঝের আঁধার নামলে পরে রয় কি গো তার রেখা?

রাতের নিঝুম লগ্ন এলে হারায় অস্তপারে।।"
Pobitro Mitro,কত যে সয়েছি ব্যথা অভিমানিনী,"কত যে সয়েছি ব্যথা অভিমানিনী তোমারই তরে

তুমি জানোনা, জানাবো তোমায় আমি কেমন করে।।

আঁধার রজনী কত গেছে বিমনা,

আমি তারে জানি, ওগো তুমি তারে জানো না

কত যে স্বপ্ন মোর আঁখির জলে গিয়েছে ঝরে।।"
Pobitro Mitro,সেদিনের সোনা ঝরা সন্ধ্যায়,"সেদিনের সোনা ঝরা সন্ধ্যায়

আর এমনি মায়াবি রাত মিলে

দুজনে শুধায় যদি তোমারে কি দিয়েছি

আমারেই তুমি কি বা দিলে।।

মনের সোনা রঙে রাঙিয়ে

নিজেরে নিয়েছি আমি সাজায়ে

জানি না তো কি যে তুমি দিয়েছ

গোপনেই তুমি কি বা নিলে

দুজনে শুধায় যদি তোমারে কি দিয়েছি

আমারেই তুমি কি বা দিলে

অস্ত গোধুলি যবে মায়ারাতে ফুলকলি ফোঁটে

তেমনি করে জানি হৃদয় পাত্র মোর

অনেক শুধায় ভরে উঠে

কাজল ব্যাথার মেঘ ছড়ায়ে

আলোয় ভুবন দিলে ভরায়ে

একথা যেমন করে জেনেছি

তুমিও কি তাই জেনেছিলে

দুজনে শুধায় যদি তোমারে কি দিয়েছি

আমারেই তুমি কি বা দিলে।।"
Pobitro Mitro,তুমি আর আমি শুধু,"তুমি আর আমি শুধু জীবনের খেলাঘর

হাসি আর গানে ভরে তুলবো

যত ব্যাথা দুজনেই ভুলবো।।

সে তো ভুল সেতো আমি বুঝিনি

সেদিন ফুলের পাশে কাঁটা খুজি নি।

সেজেছিনু মধু রাতে জীবন দোলায় শুধু দুলবো

যত ব্যাথা দুজনেই ভুলবো

শুধু বলো তুমি কি গো জানতে

যেতে যেতে এই পথ শেষ হবে কোন মরু প্রান্তে।

একবার শুধু ওগো বলো না

ফুল বিথি ফুলে কেন ভরা বলো না।

খুজি নি তো এই রাতি কোনদিন নিজ হাতে খুলবো

যত ব্যাথা দুজনেই ভুলবো।।"
