Writer,Title,Song
Prince Mahmud,তুমি জানলে না,"তুমি জানলে না

আমার হাসির আড়ালে কত যন্ত্রণা, কত বেদনা

কত যে দুঃখ বোনা।।

পাহাড়ের কান্নাকে ঝর্ণা সবাই বলে

সেই ঝর্ণা ধারায় পাহাড় কষ্টের নদী বয়ে চলে

আমাকে দেখেছো তুমি

দেখনি এই হৃদয়

অনিশ্চয়তার আগুনে পুরে হয়ে গেছে তা ক্ষয়

এতদিন পাশে থেকেও আহা আহাহা

বুঝনি পাথরের নীরবতা

তুমি জানলে না।

তুমি জানলে না

আমার হাসির আড়ালে কত যন্ত্রণা, কত বেদনা

কত যে দুঃখ বোনা

তুমি জানলে না।।"
Prince Mahmud,বাংলাদেশ,"তুমি মিশ্রিত লগ্ন মাধুরীর জলে ভেজা কবিতায়

আছো সারোয়ার্দী, শেরেবাংলা, ভাসানীর শেষ ইচ্ছায়

তুমি বঙ্গবন্ধুর রক্তে আগুন জ্বালা জ্বালাময়ী সে ভাষণ

তুমি ধানের শীষে মিশে থাকা শহীদ জিয়ার স্বপন

তুমি ছেলেহারা মা জাহানারা ইমামের একাক্তরের দিনগুলি

তুমি জসিম উদদীনের নকশী কাথার মাঠ, মুঠো মুঠো সোনার ধুলি

তুমি তিরিশ কিংবা তার অধিক লাখো শহীদের প্রাণ

তুমি শহীদ মিনারের প্রভাতফেরী, ভাইহারা একুশের গান

আমার সোনার বাংলা, আমি তোমায় ভালোবাসি

জন্ম দিয়েছো তুমি মাগো, তাই তোমায় ভালোবাসি

আমার প্রাণের বাংলা, আমি তোমায় ভালোবাসি

প্রাণের প্রিয় মাগো তোকে, বড় বেশী ভালোবাসি………

তুমি কবি নজরুলের বিদ্রোহী কবিতা, উন্নত মম শির

তুমি রক্তের কালিতে লেখা নাম, সাত শ্রেষ্ঠ বীর

তুমি সুরের পাখি আব্বাসের দরদভরা সেই গান

তুমি আব্দুল আলীমের সর্বনাশা পদ্নানদীর টান

তুমি সুফিয়া কামালের কাব্যভাষায় নারীর অধিকার

তুমি স্বাধীন বাংলা বেতারকেন্দ্রের শাণিত ছুরির ধার

তুমি জয়নুল আবেদীন, এস এম সুলতানের রংতুলির আঁচড়

শহীদুল্লাহ কায়সার, মুনির চৌধুরীর নতুন দেখা সেই ভোর

আমার সোনার বাংলা, আমি তোমায় ভালোবাসি

জন্ম দিয়েছো তুমি মাগো, তাই তোমায় ভালোবাসি

আমার প্রাণের বাংলা, আমি তোমায় ভালোবাসি

প্রাণের প্রিয় মাগো তোকে, বড় বেশী ভালোবাসি………..

তুমি বিস্মৃত লগ্নমাধুরীর জলে ভেজা কবিতায়

তুমি বাঙ্গালীর গর্ব, বাঙ্গালীর প্রেম, প্রথম ও শেষ ছোঁয়ায়

তুমি বঙ্গবন্ধুর রক্তে আগুন জ্বালা জ্বালাময়ী সে ভাষণ

তুমি ধানের শীষে মিশে থাকা শহীদ জিয়ার স্বপন

তুমি একটি ফুলকে বাঁচাবো বলে বেজে ওঠো সুমধুর

তুমি রাগে অনুরাগে মুক্তিসংগ্রামে সোনাধরা সেই রোদ্দুর

তুমি প্রতিটি পঙ্গু মুক্তিযোদ্ধার অভিমানের সংসার

তুমি ক্রন্দন, তুমি হাসি, তুমি জাগ্রত শহীদ মিনার

আমার সোনার বাংলা, আমি তোমায় ভালোবাসি

জন্ম দিয়েছো তুমি মাগো, তাই তোমায় ভালোবাসি

আমার প্রাণের বাংলা, আমি তোমায় ভালোবাসি

প্রাণের প্রিয় মাগো তোকে, বড় বেশী ভালোবাসি…….."
Prince Mahmud,তোমায় দিলাম ভূবন ডাঙার হাসি,"সোনার মেয়ে, তোমায় দিলাম ভূবন ডাঙার হাসি।।

তোমায় দিলাম মধ্য দিনের টিনের চালের বৃষ্টি রাশি

আরো দিলাম রোদ্র ধোয়া সবুজ ছোঁয়া পাতার বাশি

মুখে বললাম না বললাম না যে ভালোবাসি

তোমাকেই, তোমায় দিলাম ভূবন ডাঙার হাসি।।

তোমাকেই, তোমায় দিলাম ভূবন ডাঙার হাসি।।

তোমায় দিলাম মধ্য দিনের টিনের চালের বৃষ্টি রাশি

আরো দিলাম রোদ্র ধোয়া সবুজ ছোঁয়া পাতার বাশি

মুখে বললাম না বললাম না যে ভালোবাসি

তোমাকেই, তোমায় দিলাম ভূবন ডাঙার হাসি।।

হারাবো হৃদয় টানে, ভালোবাসার ইকটু মানে

ইচ্ছে করছি দু’জন মিলেই খুঁজি

আবেগী মেঘের ভেতর পৃথিবীর সব আলো

তুমি হবে আমার ভেবে দু’চোখ বুজি

প্রজাপতী হৃদয়টায়ে আমাতে নেই

এযে কি হলো আমার কোথায় আমি ভাসি?

তোমাকেই, তোমায় দিলাম ভূবন ডাঙার হাসি।।

তোমায় দিলাম মধ্য দিনের টিনের চালের বৃষ্টি রাশি

আরো দিলাম রোদ্র ধোয়া সবুজ ছোঁয়া পাতার বাশি

মুখে বললাম না বললাম না যে ভালোবাসি

তোমাকেই, তোমায় দিলাম ভূবন ডাঙার হাসি।।"
Prince Mahmud,ছিপ নৌকো,"আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

আড়াল দেয়াল রেখোনা

আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

লাজুক লিরিক আর কল্পনা

আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

দেখ চোখের তারায় জলকণা

আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

দেখ লাজুক লিরিক, কল্পনা

আরণ্যক পৃথিবী এক; সে সবার মতো নয়

তাই লাজুক লিরিকগুলো অগুছালোই রয়

অদ্ভুত তার ভুলগুলো, চোখের তারায় ফুলগুলো

উদাস হাওয়ায় উড়ে আনমনা

আমি অতি সাধারণ, অনিন্দ্য কিছু নই

তোমার দেখার চোখটাই অবাক; তাই এমন মনে হয়

অদ্ভুত এই ভুলগুলো, চোখের তারার ফুলগুলো

উদাস হাওয়ায় উড়ে আনমনা

তোমার ছিপ নৌকোয় যাবে, সেই ‘অন্য মেয়ে’

তুমিও আড়াল রেখোনা

লাজুক লিরিক আর কল্পনা

আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

দেখ চোখের তারায় জলকণা

আমার ছিপ নৌকোয় এসো, ও ‘অন্য মেয়ে’

দেখ লাজুক লিরিক, কল্পনা"
Prince Mahmud,বনের পাখী যদি হতাম,"যদি হতাম চাঁদ জোছনা ভাঙ্গা রাত

হয়ে তোমারে শুধু রাখিতাম পাহারায়

যদি হতাম চুড়ি তোমার হাতে ধরি

ছন্দে বাজিতাম তোমারি চিন্তায়

ভালবাসি গো ভালবাসি গো তোমায়…………।।"
Prince Mahmud,তাজমহল,"খুব বেশী জান্ তে ইচ্ছে করে

আমি চলে গেলে কি নিয়ে থাকবে তুমি

বড় বেশী জান তে কি ইচ্ছে করে

ভুলে যাবে নাকি আমায় মনে রাখবে

বৃষ্টি ভেজা কোনো দুপুরে

ভেবে কি তুমি কাদবেনা

জোছনা ধোয়া কোনো রাতে বিষণ্ন কি হবেনা

তুমি তাজমহল গড়ো

হৃদয়ে তোমার কখনো হারালে

চোখেরই জল মুছে ফেলো

কোলাহল থেকে এক্ টু আড়ালে

তোমার সে তাজমহলে

সৃতি করে রেখো আমায় কাছাকাছি

হয়ত এ দেহ থাকবেনা

ভেবো তোমার বিশ্বাসে বেচে আছি

আমার স্পর্শ কে তুমি অনুভব করবেনা

তুমি তাজমহল গড়ো

হৃদয়ে তোমার কখনো হারালে

চোখেরই জল মুছে ফেলো

কোলাহল থেকে এক্ টু আড়ালে

তোমার বিষণ্ন দুপুরে

ভরা কোনল হয়ে রব

তোমার জোছনা ধোয়া রাতে

হৃদয়ে নীল ছোয়া পাবে নিঃশ্বাসে

আমার স্পর্শ কে তুমি অনুভব করবেনা

তুমি তাজমহল গড়ো

হৃদয়ে তোমার কখনো হারালে

চোখেরই জল মুছে ফেলো

কোলাহল থেকে এক্ টু আড়ালে"
Prince Mahmud,হারালো এই মন,"আমি অতি সাধারণ, আমার একটাই জীবন

এলোমেলো করে যে দিলে তুমি এই মন

যখন তুমি ছিলে না একাকী ছিলাম তখন

বাঁধনে আসে ভাঙ্গন জানি কেন হয় এমন

হারালো এই মন জানি না কোন সে মেয়ে

দেখেছি তাকে স্বপনে

হারালো এই মন জানি না কোন সে মেয়ে

বলে দাও আজ কোথায় সে

ভালবাসা এক যে বাঁধন

কখন কি করে যায়

যখন আমি বুঝেছি সে শুধুই যন্ত্রণা

বুঝেছি সে আমায়ন শুধু কাঁদাবে

কিন্তু আমি স্বপ্ন দেখছি তার জন্যে

ভালবাসা কি যে তা তো বুঝিনি আগে

জানি না এ জীবনে কেন এত বাধা

স্বপ্ন আমার ভেঙ্গে যায় আশা আর নিরাশায়

হারালো এই মন জানি না কোন সে মেয়ে

দেখেছি তাকে স্বপনে

হারালো এই মন জানি না কোন সে মেয়ে

জানি না কোথায় সে

জানি না কোথায় সে, জানি না কোথায় সে

জানি না এ জীবনে কত ব্যথা আসবে

কেন তাকে নিয়ে আসে দূর থেকে কাছে

এখনো আমি তাকে ভালোবাসি শুধু ভালোবাসি

হারালো এই মন জানি না কোন সে মেয়ে

দেখেছি তাকে স্বপনে

হারালো এই মন জানি না কোন সে মেয়ে

জানি না আজ কোথায় সে"
Prince Mahmud,তিন পুরুষ,"এক পুরুষে গড়ে ধন

এক পুরুষে খায়

আর এক পুরুষ এসে দেখে

খাওয়ার কিছু নাই

আমার তিন পুরুষ।

দাদা দাদি নানা নানী

আর তো পিছে নাই

বাবা মা’র পরে আমি

আমার পরে নাই

দুনিয়াতে এসে দেখি

ধন সম্পত্তি নাই

আমার তিন পুরুষ।

এই দুনিয়ার কোন কিছু

সঙ্গে যাবে না

তিন পুরুষের এক পুরুষ

সে কথা ভোলে না

শেষ পুরুষের ভাগে তবু

ভিটামাটি নাই

আমার তিন পুরুষ।"
Prince Mahmud,ও দুনিয়ার মানুষ,"ও দুনিয়ার মানুষ ও ভাই

আল্লাহ’র নাম লও সময় নাই

আসিলে ডাক যাইতে হবে ভাই

পুন্যের ভাগ বেশী হওয়া চাই

আছো তুমি দুনিয়াদারী নিয়ে

দম গেলে আসিবে বিপদ

বৌ ছেলে ভাই বোন হিসেব করতে বসবে

রাইখা গেলা কি সম্পদ

আন্ধার ঐ কবরে যাইতে হবে রে

দুদিন আগে আর পরে

ফেরেশতার আসর বইবো

ইহকালের খাতা খুলবো

কি পুন্য আন্ সো সাথে কি আনো নাই।।

কার মনে কষ্ট দিসো

কারে দিস গাল

কার ধন কইরা চুরি

হইসো লালে লাল।

চোখ বুইজা করস সবই

তার কাসে তোলা ছবি

বিচারে কোন ক্ষমা নাই

ভাবের মন উদয় হইব

তখনি সব ই মনে পরব

ঈমানের কথা শোন নাই।।

মা তোমার কাইন্দা কইবো

বাজান আমার নাই

মাটির পৃথিবী তুমি

ছাইড়া গেসো ভাই।

বাপ ভাইয়ে কান্ধে নিবো

ঠিকানার দিকে লইয়া যাইবো

সাদা কাফন বড়ই আপন অন্তিম সময়।।"
Prince Mahmud,নীরা ক্ষমা কর,"কিছু ভুল কিছু অভিমান

দুরে নিয়ে গেল তোমায়

নিরুপায় এই মন সে সময় ছিলো অসহায়

এভাবেই ভালোবাসা একদিন

ঘৃণাতেই পরিণত হয়

সময়ের নিয়মে এ সময়

তবু বয়ে যায়

নীরা ক্ষমা কর আমাকে

এতটুকু সুখ তোমায়

পারিনি দিতে

দুঃখ কত জমিয়ে রেখেছো

অভিমান আভরণে ঢেকেছো

পারবনা সেই অভিমান ভাঙ্গাতে

নতুন আশার কথা শোনাতে

নীরা ক্ষমা কর আমাকে

এতটুকু সুখ তোমায়

পারিনি দিতে

দুটি হৃদয়ের যত কথা

রুপ কথা হয়ে ভেসে গেছে

অনতহীন বিরহের সব দিন

এই হৃদয়ে বাসা বেধেছে

নীরা ক্ষমা কর আমাকে

এতটুকু সুখ তোমায়

পারিনি দিতে"
