Writer,Title,Song
Fojol A khoda,বন্ধুর প্রেমে হইলাম পাগল,"বন্ধুর প্রেমে হইলাম পাগল

বন্ধু আমার কোথায় রইলো হায়।

আমি আঁখির জলে করলাম নদী।

বন্ধু আমার এলো না তাই

বন্ধু আমার কোথায় রইলো হায়

আমি পেতাম যদি বন্ধুর দেখা।

কইতাম তারে মনের কথা গো।

আহা দেখা পেলে বলে কেহ

তোমার বন্ধুর পরাণ রাখা দায়।।

না জানা প্রেম করলাম সখী বন্ধুর সনে

দূরে দূরেই রইলে বন্ধু আগুন জ্বলে মনে

করলাম বন্ধুর সনে

আমি মনের দুঃখে হইলাম দুঃখী।

কেন্দে কেন্দে নিরবধি গো।

তাহার দেখা পেলে বলো কেহ

তোমার বন্ধুর পরাণ রাখা দায়।।"
Fojol A khoda,যে দেশেতে শাপলা শালুক ঝিলের জলে ভাসে,"যে দেশেতে শাপলা শালুক ঝিলের জলে ভাসে

যে দেশেতে কলমি কমল কনক হয়ে হাসে

সে আমাদের জন্মভুমি মাতৃভুমি বাংলাদেশ, বাংলাদেশ, বাংলাদেশ।।

যে দেশেতে পাজরা পানশি উজান ভাটি চলে

যে দেশেতে মাঝি মাল্লা নতুন কথা বলে।

সে আমাদের জন্মভুমি মাতৃভুমি বাংলাদেশ, বাংলাদেশ, বাংলাদেশ।।

যে দেশেতে নদ-নদীরা এক সাগরে মিশে

আমরা সবাই নিত্য খুশি সে দেশ ভালবেসে।

যে দেশেতে সাখের কলসি নদীর ঘাটে আসে

যে দেশেতে খুশির জোয়ার সকল বারো মাসে।

সে আমাদের জন্মভুমি মাতৃভুমি বাংলাদেশ, বাংলাদেশ, বাংলাদেশ।।"
Fojol A khoda,মন রেখেছি আমি,"মন রেখেছি আমি তার মনেরও আঙ্গিনায়

কেউ ডেকো না আমায় কেউ খোঁজ না আমায়।।

আমার মন বাউল হয়েছে তার লাজ রাঙা অনুরাগে

হৃদয় জুড়ে যে রয়েছে তাকে ভাবতে ভাল লাগে।

মন সপেছি আমি তার প্রেমেরও ভাবনায়

কেউ ডেকো না আমায় কেউ খোঁজ না আমায়

সোনালী ধানের রঙ মেখে সেজেছে রূপসী ললনা

আকাশের যত নীল মেখে হয়েছ সে নীলাঞ্জনা।

বাধা পড়েছি আমি সেই রূপের মায়ায়

কেউ ডেকো না আমায় কেউ খোঁজ না আমায়।।"
Fojol A khoda,ডোরা কাটা দাগ দেখে বাঘ চেনা যায়,"ডোরা কাটা দাগ দেখে বাঘ চেনা যায়

বাতাসের বেগ দেখে মেঘ চেনা যায়

মুখ ঢাকা মুখোশের এই দুনিয়ায়

মানুষকে কি দেখে চিনবে বলো।

বহুরূপী সেজে কেউ জিতে নেয় বাজি

কেউ তবু বোঝে নারে সেই কারসাজি।

যখন খেলা খতম পয়সা হজম।।

কি হবে তখন করে শুধু হায় হায়

ল্যাজ দেখে বিড়ালকে যায় চেনা যায়

ডাক শোনে কোকিলকে যায় চেনা যায়

মুখ ঢাকা মুখোশের এই দুনিয়ায়

মানুষকে কি দেখে চিনবে বলো।

চক্করে পড়ে কেউ খায় ঘুরপাক

কেউ হাসে কেউ কাঁদে কেউ নির্বাক।।

বোকার হদ্দ লোকে কপাল ঠোকে।।

বুদ্ধিমানেই শত রঙ বদলায়

কালো দেখেই আলোকে যায় চেনা যায়

ফুল দেখে ফাগুনকে যায় চেনা যায়

মুখ ঢাকা মুখোশের এই দুনিয়ায়

মানুষকে কি দেখে চিনবে বলো।"
Fojol A khoda,ভালবাসার মূল্য কত,"ভালবাসার মূল্য কত

আমি কিছু জানি না

এ জীবন তুল্য কি তার

আমি সে তো বুঝি না।।

আমি না জেনে না বুঝে

নিলাম তোমার মন

পরে বেশি দাম চেও না।।

মনের মত মন না হলে

অকারণে বাড়ে জ্বালা

ফুলের মত ফুল না হলে

যায় না গাঁথা প্রেমের মালা

মনের মত মন হবে কি

ফুলের মত ফুল হবে কি

আমি না বুঝে না খুঁজে

নিলাম তোমার মন

পরে বেশি দাম চেও না।।

এপাড় ওপাড় দুই পাড়েতে

জ্বেলে যাব প্রেমের বাতি

জীবনে মরণে ওগো

তুমি আমি চিরসাথী

কি হবে কি, হবে না

কি পাবো কি, পাবো না

আমি না জেনে না শুনে

দিলাম আমার মন

আর বেশি দাম চেও না।।"
Fojol A khoda,সালাম সালাম হাজার সালাম,"সালাম সালাম হাজার সালাম

সকল শহীদ স্মরণে,

আমার হৃদয় রেখে যেতে চাই

তাদের স্মৃতির চরণে।।

মায়ের ভাষায় কথা বলাতে

স্বাধীন আশায় পথ চলাতে

হাসিমুখে যারা দিয়ে গেল প্রাণ

সেই স্মৃতি নিয়ে গেয়ে যাই গান

তাদের বিজয় মরণে,

আমার হৃদয় রেখে যেতে চাই

তাদের স্মৃতির চরণে।।

ভাইয়ের বুকের রক্তে আজিকে

রক্ত মশাল জ্বলে দিকে দিকে

সংগ্রামী আজ মহাজনতা

কন্ঠে তাদের নব বারতা

শহীদ ভাইয়ের স্মরণে,

আমার হৃদয় রেখে যেতে চাই

তাদের স্মৃতির চরণে।।

বাংলাদেশের লাখো বাঙালি

জয়ের নেশায় আনে ফুলের ডালি

আলোর দেয়ালি ঘরে ঘরে জ্বালি

ঘুচিয়ে মনের আঁধার কালি।

শহীদ স্মৃতি বরণে,

আমার হৃদয় রেখে যেতে চাই

তাদের স্মৃতির চরণে।।"
