Writer,Title,Song
Sirajul Islam,আমার প্রানের প্রান পাখি,"আমার প্রানের প্রান পাখি

আমার হিরামন পাখি

তোরে কোথায় রাখি

পাখিরে সবই মিছে আর ফাঁকি।।

পাখিরে .রে রে..এ..এ..

এক পলকের নাই ভরসা

মিছে সকল আশা…..

কখন জানি দারুন ঝড়ে।

ভাঙবে স্বাদের বাসা.. পাখিরে।

ও পাখিরে .রে রে..এ..এ..

কোন বনেরই পাখি তুমি

যাইবা রে কোন বনে

সে কথা কি গেছ ভুলে।

পরে না কি মনে … পাখিরে।।

ও পাখিরে .রে রে..এ..

মিছা মায়ায় বন্দি হইয়া

কর কত খেলা

পশ্চিমে তাকাইয়া দেখ।

ডুইবা আইলো বেলা…. পাখিরে।।"
Sirajul Islam,"হলুদিয়া পাখি, সোনারই বরণ","হলুদিয়া পাখি, সোনারই বরণ

পাখিটি ছাড়িল কে

পাখিটি ছাড়িল কে রে আমার

পাখিটি ছাড়িল কে।

কেউ না জানিল, কেউ না দেখিল,

কেমনে পাখি দিয়াছে ফাঁকি

উইড়া গেল হায় চোখের পলকে

পাখিটি ছাড়িল কে।।

সোনার পিঞ্জিরা শূণ্য করিয়া

কোন বনে পাখি গেল যে উড়িয়া।

পিঞ্জিরার জোড়া খুলিয়া খুলিয়া

ভাইঙ্গা পড়ে সেই না পাখির শোকে।।

সবই যদি ভুলে যাবি রে পাখি

কেন তবে হায় দিলি রে আশা

উইড়া যদি যাবি ওরে ও পাখি

কেন বাইন্ধা ছিলি বুকেতে বাসা।

কত না মধুর গান শুনাইয়া

গেলিরে শেষে কেন কান্দাইয়া

তোমারে স্মরিয়া দুখের দরিয়া

উথলি উঠে হায় পাগলের চোখে।।"
Sirajul Islam,নবী মোর পরশ মনি,"নবী মোর পরশ মনি

নবী মোর সোনার খনি

নবী নাম জপে যে জন সেইতো দোজাহানের ধনী।।

নবী মোর নুরে খোদা

তার তরে সকল পয়দা

আদমের কলবেতে তারই নুরের রৌশনী।।

ঐ নামে সুর ধরিয়া

পাখী যায় গান করিয়া

ঐ নামে আকুল হইয়া ফুল ফোতে সোনার বরণী।।

চাঁদ সুরুয গ্রহ তারা

তারই নউরের ইশারা

নইলে যে অন্ধকারে ডুবিত এই ধরণী।।

নিদানে আখেরাতে

ত্বরাইতে পুল সিরাতে

কান্ডারী হইয়া নবী পার করিবেন সেই তরণী।।"
