Writer,Title,Song
Obsokure,তোমাকে চাই,"তুমি অকারণে এই মনে ব্যথা দিও না

ভালোবাসি এত তবুও কেন বুঝো না

যদি যাও দূরে বহুদূরে ভুলে থেকো না

ভালোবাসা মিছে আশা শুধু ছলনা

তবুও সব বাধা ভেঙ্গে তবুও তোমাকেই চাই

তুমি ছাড়া এ ভুবনে কোন সুখ নাই

জানি প্রথম প্রেমের মত কোন প্রেম নাই

বার বার ফিরে আসি যদি ফিরে পাই তাই

You are my sunshine my only sunshine

You make me happy when skies are grey

You’ll never know dear how much I love you

So please don’t take my sunshine away

তবুও ইচ্ছেগুলো শুধু তোমাকে খোঁজে

বুকে সাগরের ঢেউ তোমাকে বোঝে

আর প্রতিদিন প্রতি রাতে প্রতিটি কাজে

তুমি আছো প্রতিক্ষণে বুকেরই মাঝে

তাই ভাবি শুধু কবে তুমি আসবে কাছে

শূন্য ভুবনে মোর জোছনা মাঝে

আমি তোমার চোখের মাঝে স্বপ্ন খুঁজি

অচেনা ভুবনে শুধু তোমাকে খুঁজি তাই

You are my sunshine my only sunshine

You make me happy when skies are grey

You’ll never know dear how much I love you

So please don’t take my sunshine away

তুমি অভিমান করে দুরে সরে যেও না

ভালোবাসি এত তবুও কেন বুঝো না

যদি যাও দূরে বহুদূরে ভুলে থেকো না

ভালোবাসা মিছে আশা শুধু ছলনা

তবুও সব বাধা ভেঙ্গে তবুও তোমাকেই চাই

তুমি ছাড়া এ ভুবনে কোন সুখ নাই

জানি প্রথম প্রেমের মত কোন প্রেম নাই

বার বার ফিরে আসি যদি ফিরে পাই তাই

You are my sunshine my only sunshine

You make me happy when skies are grey

You’ll never know dear how much I love you

So please don’t take my sunshine away"
Obsokure,সেই তুমি (আমারই আছো সেই সে তুমি),"আমারই আছো সেই সে তুমি

বুকের মাঝে আছো সেই সে তুমি

হৃদয় ছোয়া ভালবাসায়

আছো সকল ব্যাথা আর কথায়

সেই তুমি সেই তুমি

হৃদয় জুড়ে আছো সেই তুমি

স্নিগ্ধ ভোরের শিশির কনায়

মিশে আছো শুধু সেই তুমি

নিঃসঙ্গ রাতের সোনালী স্বপ্নে।।

তোমারই কথা ভাবি আনমনে

সেই তুমি সেই তুমি

হৃদয় জুড়ে আছো সেই তুমি

তুমি যতই দূরে যাও

তুমি যতই ব্যাথা দাও আছো আমারি

সেই তুমি

তুমি আছ দীর্ঘশ্বাসে আছো আমার সব বিশ্বাসে

আমারি সুখে আমারি দুঃখে

তুমি আছো শুধু এই বুকে

সেই তুমি সেই তুমি

বুকের মাঝে আছো সেই সে তুমি।।"
Obsokure,স্বপ্নগুলো,"যখনই দুঃখগুলো সুখ হতে চায়

ফেরারি সে সুখ শুধু পালিয়ে বেড়ায়

সুখ যত ছিলো এ হৃদয় গভীরে

অবহেলা দিয়ে তুমি নিয়েছো কেড়ে

তোমাকে ঘিরে আমার স্বপ্ন ছিলো

আশা ভালোবাসা ছিলো

স্বপ্নগুলো হলো এলোমেলো

লোকে বলে দুঃখ ছাড়া সুখ মেলে না

এক জীবনে সুখি হয় বলো কজনা

সুখ সেতো কাঁটাঘেরা ফুলেরই মালা

ভালোবাসা কেড়ে নিয়ে দেয় সে জ্বালা

কি করে ভুলেছো তুমি এই আমাকে

ভুলিনি আমি তোমাকে

স্বপ্নগুলো কেন এলোমেলো

তোমায় বুকে ধরে আমি হয়েছি উদাসি

কত না স্বপ্ন এ মন দেখেছে

তোমাকে ছাড়া আমি আজ রয়েছি একাকি

বিরহ মেঘেরা আকাশ ছেয়েছে

তবু লোকে বলে দুঃখ ছাড়া সুখ মেলে না

এক জীবনে সুখি হয় বলো ক’জনা

সুখ সেতো কাটাঘেরা ফুলেরই মালা

ভালোবাসা কেড়ে নিয়ে দেয় সে জ্বালা

সুখ যত ছিলো এ হৃদয় গভীরে

অবহেলা দিয়ে তুমি নিয়েছো কেড়ে

কি করে ভুলেছো তুমি এই আমাকে

ভুলিনি আমি তোমাকে

স্বপ্নগুলো হলো এলোমেলো"
Obsokure,কলিকালের ভণ্ড বাবা,"কলিকালের ভণ্ড বাবা খাজা বাবার নাম ভাঙ্গাইয়া

ধর্মটারে ল্যাং মারিয়া ভাঁওতাবাজির এমডি সাজে

বাবা রে বাবা ও বাবা ভণ্ড বাবা

বাবা রে বাবা হায় ও বাবা কলি বাবা

আবারও সেই এমনি বাবার মুরিদ নামের চামচা গুলা

হাদিস কোরআন ভুইলা গিয়া বাবার লেখা জিকির পড়ে

বাবা রে বাবা ও বাবা কলি বাবা

বাবা রে বাবা হায় ও বাবা মডার্ন বাবা

হাজার টাকা ভিজিট লইয়া পীর-আউলিয়া ডিগ্রী লাগায়

ফরিদপুইরা ধান্ধা করে টেক্কার (আঙুল) চুক্কী দেহায়

বাবা রে বাবা ও বাবা ভণ্ড বাবা

বাবা রে বাবা হায় ও বাবা গাঁজার বাবা

মুরিদরা সব জিকির করে কলকী ভরা গাঁজার নেশায়

পীর বাবা রে সেজদা করে পাপের স্রোতে জীবন ভাসায়

বাবা রে বাবা ও বাবা মডার্ন বাবা

বাবা রে বাবা হায় ও বাবা ভণ্ড বাবা

কলি-কালের ভণ্ড বাবা খাজা বাবার নাম ভাঙ্গাইয়া

ধর্মটারে ল্যাং মারিয়া ভাঁওতাবাজির এমডি সাজে

বাবা রে বাবা ও বাবা কলি বাবা

বাবা রে বাবা হায় ও বাবা ভণ্ড বাবা

বাবা রে বাবা ও বাবা গাঁজার বাবা

বাবা রে বাবা হায় ও বাবা মডার্ন বাবা"
