Writer,Title,Song
Ark,প্রতিশ্রুতি,"কোন এক ক্ষনে…তোমারি বিহনে

আমারই প্রতিশ্রুতি।

রুদ্ধশ্বাসে অপরূপা বেশে

ছুটেছিলে লাজে অতি।

মেহেদি রাঙ্গানো… হাত দুটি এ হাতে

আলতো আলতা… নূপুরের সাজে

লাল টুকটুক শাড়ীর আঁচল

মমতার পাড় ছুঁয়ে যায়।

বাঁকানো ঠোঁটের আঁকানো হাসি

জাগিয়ে নেশার জ্যোতি।

রুদ্ধশ্বাসে অপরূপা বেশে

ছুটেছিলে লাজে অতি।

কোন এক ক্ষনে…তোমারি বিহনে

আমারই প্রতিশ্রুতি।

রুদ্ধশ্বাসে অপরূপা বেশে

ছুটেছিলে লাজে অতি।

কোন এক………….."
Ark,কেন এই সন্ত্রাস,"ছিনতাই রাহাজানি সাথী যেন প্রতি দিনের

দুর্ঘটনা ঘটছে অহরহ বেঁচে থাকাটাই আজ দায়

মাস্তানি চাঁদাবাজি চলছে আজ দেশটা জুড়ে

যে দিকে যাই দেখি শুধু গ্যঞ্জাম এত টুকু স্বস্তি নেই

অনিশ্চিত আমাদের এই জীবন কে দেবে বল আজ আশ্বাস

জানি না পথে বের হয়ে যাবে কি আজ প্রিয় ঘরেতে আবার ফেরা

কেন এই সন্ত্রাস?

শিক্ষা জিম্মি যেন সন্ত্রাসীর হাতে

বিশৃঙ্খলা ছেয়ে, ছেয়ে গেছে আমাদের এই শিক্ষাঙ্গন

অনিশ্চিত আমাদের এই জীবন কে দেবে বল আজ আশ্বাস

জানি না পথে বের হয়ে যাবে কি আজ প্রিয় ঘরেতে আবার ফেরা

কেন এই সন্ত্রাস?

রাজনীতির মুখোস পড়ে ক্ষমতার ভাগাভাগি

বিদেশে করে টাকা পাচার কালো টাকার পাহাড় গড়ে

অনিশ্চিত আমাদের এই জীবন কে দেবে বল আজ আশ্বাস

জানি না পথে বের হয়ে যাবে কি আজ প্রিয় ঘরেতে আবার ফেরা

কেন এই সন্ত্রাস?

কেন এই সন্ত্রাস? চাই না সন্ত্রাস আর নয় সন্ত্রাস.. কেন এই সন্ত্রাস?"
