Writer,Title,Song
Shahinur Islam,কোথা’ হতে কোথা’ এলি,"কোথা’ হতে কোথা’ এলি

কোথা’ হতে কোথা’ এলি জানলি না মন এখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো।

কোথা’ হতে কোথা’ এলি জানলি না মন এখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো॥

লক্ষ বছর হলো গত

ঘুরে মহাজগত।

লক্ষ বছর হলো গত

ঘুরে মহাজগত।

সোনা মাছের মতো ভুলে

সোনা মাছের মতো ভুলে (ভোলা মন)

সোনা মাছের মতো ভুলে সুখে তুই রইলি যেন।

আবার কোথায় চলে যাবি কেউ কি জানে কখনো।

আবার কোথায় চলে যাবি কেউ কি জানে কখনো।।

আগে পরে না জানলে পর

কেঁদেই যাবি জীবন ভর।

আগে পরে না জানলে পর

কেঁদেই যাবি জীবন ভর।

আসা-যাওয়ার এপার ওপার

আসা-যাওয়ার এপার ওপার (ভোলা মন)

আসা-যাওয়ার ওপার বাদ রাখিস না কোনো।

আবার কোথায় চলে যাবি কেউ কি জানে কখনো।।

কোথা’ হতে কোথা’ এলি

কোথা’ হতে কোথা’ এলি জানলি না মন এখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো

আবার কোথায় চলে যাবি কেউ কি জানে কখনো

অাবার কোথায় চলে যাবি কেউ কি জানে কখনো।।"
Shahinur Islam,এত ভালবাসি বন্ধু,"এত ভালবাসি বন্ধু তেবু দিলি ফাঁকি

জানি না তোর মনের মইদ্দে ছিল কোন পাখি।।

আ…..আ আ…আ

চান্দেরও কলঙ্ক থাকে

মাইনষে তেবু জোইছন্যা দেখে

কলঙ্ক তার মনে রাইখলে জোইছন্যা পাইতো কি।।

গাঙের পানি ডুব্যায় যেমন

গর্মে মন জুড়্যায় তেমন

ডোব্যার ডরে চলি’ গেলে মন জুড়্যাবে নাকি।।"
