Writer,Title,Song
Jebunnesa Jamal,সাগরের তীর থেকে,"সাগরের তীর থেকে মিষ্টি কিছু হাওয়া এনে

তোমার কপালে ছোঁয়াবো গো

ভাবি মনে মনে

আকাশের নীল থেকে তাঁরার কান্তি এনে

তোমার নয়নে ছড়াবো গো

ভাবি মনে মনে।।

সবই যে মধুর লাগে অনুরাগে হিয়া জাগে

গোপন স্বপনগুলো জীবনের দিশা পেল

আমারও পরান বীনা সুরে সুরে ভরে যায়।।

এ মনে লুকানো লাজ তারা হয়ে জ্বলে আজ

কাজল কালো আখী পাখি হয়ে যায় ডাকি

তাই বলি ভালবাসা প্রানে দোলা দিয়ে যায়।।"
Jebunnesa Jamal,তুমিতো কতই ফুল দিয়েছ আমায়,"তুমিতো কতই ফুল দিয়েছ আমায়

আমি কেন মালা দিতে পারি না তোমায়।

নয়ন যতই ভুলে তোমার রূপে

হৃদয় যতই পুড়ে প্রেমের ধুপে।

হারায় মুখের ভাষা জানি না কোথায়।।

বলায় যা ছিল তা বলা হয় না

প্রাণের দুয়ারখানি খোলা হয় না।

জীবন ভরে উঠে মধুর ব্যাথায়।।"
