Writer,Title,Song
Sumon,লাগ ভেলকি লাগ,"লাগ ভেলকি লাগ, চোখে মুখে লাগ

দিল দিল দিল দরিয়ার বুকে বুকে লাগ

লাগ ভেলকি লাগ, চোখে মুখে লাগ

দিল দিল দিল দরিয়ার বুকে লাগ

দেখ খেলা দেখে যা

মন খুলে গেয়ে যা

দেখ খেলা দেখে যা

যা যা যা পাখি

ভাইঙ্গা যা খাঁচা

যা যা যা পাখি, যা যা…।

ছুঃ মন্তর ছুঃ দেখে যাও যাদু

দেখ দেখ জীবনের কত রঙ দেখে যাও

ছুঃ মন্তর ছুঃ দেখে যাও যাদু

দেখ দেখ দেখ জীবনের রঙ দেখে যাও

খুইলা যা… খুইলা যা

উড়াল দিয়া যা

খুইলা যা খুইলা যা

যা যা যা মনটা ছুটে যা ছুটে যা

যা যা যা মনটা যা যা…।

পোড় খাওয়া এই মনে

মেতেছি কত ঢঙে

পোড় খাওয়া

এই মনে

মেতেছি কত ঢঙে

শান্তির মাঝে তবু

আমি জ্বলন্ত নটরাজ

যৌবন জ্বলে যায়

যাক উড়ে যাক

যাক জ্বলে যাক

যাক উড়ে যাক… যা যা…।

লাগ ভেলকি লাগ, অন্তর খুইলা

পাপ যত আছে সব দূর হইয়া যাক

লাগ ভেলকি লাগ, অন্তর খুইলা

পাপ যত আছে সব দূর হইয়া যাক

পাপ ছেড়ে পথে আয়

পথে আয়… পথে আয়…

নেক দিলে চলে আয়

ভাইস্যা ভাইস্যা

নাইচ্যা নাইচ্যা

উড়াল দিয়া আয়…।"
Sumon,উড়ু উড়ু মন,"আজ আকাশের মন খারাপ..

ফিরবেনা বাড়ী..

কাঁদছে সে সকাল থেকে..

সব নিয়েছে আঁড়ি..

সময় আর অসময়ে কাঁদে সারক্ষণ..

আমি উড়ে বেড়াই নিয়ে..

উড়ু উড়ু মন..

ভেঁজা মাটি স্যাঁতস্যাঁতে..

উদাশী মাতাল হাওয়া..

শূন্য চোখে চেয়ে দেখি..

তোমার আসা যাওয়া..

একাকী ঘরে বসে বসে কাটেঁনা এই ক্ষণ..

আমি উড়ে বেড়াই নিয়ে..

উড়ু উড়ু মন..

অপেক্ষার প্রহর গুণি..

রং দেখবো বলে..

মিনতির স্বরে বলছে শোনো

যাও তুমি যাও চলে..

হঠাৎ করেই আসো তুমি..

ইচ্ছে খুশি যখন..

আমি উড়ে বেড়াই নিয়ে..

উড়ু উড়ু মন.."
Sumon,জানতে ইচ্ছে করে,"নিশ্চুপ চারিদিক বসে আছি ছাদে একাকী

জোসনায় হিমেল হাওয়ায় তোমার কথা ভাবি

এভাবেই কেটে যায় কিছু সময়

নিয়ে চোখে পানি

হয়তো মেঘের ভেলায় ভেসে

দেখছো আমায় তুমি

জানতে ইচ্ছে করে আমার

কেমন আছ তুমি?

প্রতি রাতে আকাশপানে তোমাকেই খুজি

তোমার মুখের মিষ্টি হাসি এখনো চোখে ভাসে

কত কবিতা কত গান তেপান্তর নিয়ে

তোমার কথা ভেবে ভেবে দেখি আকাশটাকে

মাঝে মাঝে আকাশটাকে ছুতে ইচ্ছে করে

জানতে ইচ্ছে করে আমার

কেমন আছ তুমি?

প্রতি রাতে আকাশপানে তোমাকেই খুজি

জানতে ইচ্ছে করে আমার

তোমার সব ব্যাথা

অপারের জগৎটাকে হবে কি কভু দেখা

তোমার জগতে অধিক সন্ধ্যাতারা

তোমার জগতে বয়কি ঝরনাধারা

তোমার জগতে কেউকি শুভ্রহারা

জানতে ইচ্ছে করে আমার

কেমন আছ তুমি?

প্রতি রাতে আকাশপানে তোমাকেই খুজি

সুর আর আসে না

ফুল আর ফুটে না

পাশের বাগানটাতে

চলে গেছ তুমি আমায় ফেলে

মেঘের অপাশটাতে

জানতে ইচ্ছে করে আমার

কেমন আছ তুমি?

প্রতি রাতে আকাশপানে তোমাকেই খুজি

জানতে ইচ্ছে করে"
Sumon,স্বপ্নগুলো তোমার মতো,"তুমি মানে তোমার চলে যাওয়া

তোমার জন্য সব ভুলে থাকা

জীবন মানে বাঁচার অভিনয়

মৃত্যু মানে তোমায় না পাবার ভয়

তোমার আশা কতটা কাছে টানে

আমার ছায়া যতটা আঁধার আনে

কাঁচের দেয়াল ভাঙার মত

তোমায় ভাঙি ইচ্ছে মত

আমার কেন ভালো লাগে না

কোন কিছু তোমার মত

যখন তুমি একা থাকো

আগুন জ্বলে আলোর মতন

নিজের কাছেই লুকিয়ে রাখি

স্বপ্নগুলো তোমার মত

আমার শরীর জুড়ে বৃষ্টি নামে

অভিমানের নদীর তীরে

শুধু তোমায় বলতে ভালবাসি

আমি বারেবার আসবো ফিরে

আমার শরীর জুড়ে বৃষ্টি নামে

অভিমানের নদীর তীরে

শুধু তোমায় বলতে ভালবাসি

আমি বারেবার আসবো ফিরে"
Sumon,গাইবো না,"দিয়েছিলে যা, নিয়ে নিতে পারো

লেখা কবিতা, গাওয়া গান যত

খুঁজে দেখ না, পাবে না কেউ আমার মত

মুছে দিও না শুধু হৃদয় ক্ষত

গাইবো না আর কোন গান তোমায় ছাড়া

লিখবো না আমি আর তুমি হীনা কবিতা ।।

নিজেকে আমি বুঝিনি কখনো

ছিলেনা যখন আসনি তখনও

এলে সেখানে, অজানা যা ছিল মন **

আমার মাঝে আজ আমি আলোকিত

গাইবো না আর কোন গান তোমায় ছাড়া

লিখবো না আমি আর তুমি হীনা কবিতা ।।"
