Writer,Title,Song
Kazi Faruk Babul,ফিরে এলে না,"দিন গেল আবার দিন ফিরে এলো

সেই তুমি গেলে আর ফিরে এলে না

কোথায় আছো তুমি কেমন আছো

একবারও কেন তুমি দেখা দিলে না

দিন গেল আবার দিন ফিরে এলো

আমায় ছেড়ে যদি চলেই যাবে

ইশারায় কেন কাছে ডাকলে

এতো কাছে এসে ভালোবেসে

অজানায় কেন সরে থাকলে

জীবনটা আমার বদলে গেল

স্বপ্নগুলো আজ শূন্য হলো

তোমার চোখে আজ দুচোখ রেখে

সুখের আড়ালে বিরহ দেখি

আবার নতুন করে আসবেই তুমি

সেই আশায় পথ চেয়ে থাকি

যে মন তোমায় ভালোবেসেছিলো

আগের মতই আজো রয়ে গেল"
Kazi Faruk Babul,রং নাম্বার,"রং নাম্বার টেলিফোনে

নাম না জানা কে বললো হ্যালো

মন দেয়া নেয়া শত কথার মাঝে

লাইনটা হঠাৎ কেটে গেলো

হ্যালো হ্যালো হ্যালো

লাইনটা কেটে গেলো

সঙ্গী ভেবে তারে আমি

দিয়েছি নিজের ঠিকানা

বলি বলি করে সময় যে গেলো

আর কিছু জানা হলো না

মন ভুলানো তার মিষ্টি কথায়

মনটা শেষে দিতে হলো

হ্যালো হ্যালো হ্যালো

লাইনটা কেটে গেলো

সেই থেকে আজো বন্ধু আমার

মনের খবর নিলো না

দিনে রাতে তারে স্বপ্নেতে দেখি

কোনো কাজে মন বসে না

প্রথম প্রেমের নেশা জাগিয়ে মনে

কোথায় সে হারিয়ে গেলো

হ্যালো হ্যালো হ্যালো

লাইনটা কেটে গেলো"
Kazi Faruk Babul,চাঁদ তারা সূর্য নও তুমি,"চাঁদ তারা সূর্য নও তুমি

নও পাহাড়ী ঝর্না,

যদি বলি ফুল তবুও হবে ভুল

তোমার তুলনা হয়না।

তুমি না এলে এই পৃথিবী আমার

হারাবে আপন ঠিকানা

যদি দূরে যাও স্বপ্ন গুলো আমার

ভেঙ্গে যাবে জানো না।

তোমার কথা ভেবে ভেবে

আমি গল্প কবিতা আর কাব্য লিখি,

তোমার চোখে চেয়ে থেকে

সুন্দর আমার পৃথিবী দেখি।

তুমি না এলে এই পৃথিবী আমার

হারাবে আপন ঠিকানা

যদি দূরে যাও স্বপ্ন গুলো আমার

ভেঙ্গে যাবে জানো না।

জীবন চলার পথে জানি

তুমি প্রথম দিয়েছ দেখা,

ভুল বুঝে কোনোদিনও

আমায় তুমি করোনা একা।

তুমি না এলে এই পৃথিবী আমার

হারাবে আপন ঠিকানা

যদি দূরে যাও স্বপ্ন গুলো আমার

ভেঙ্গে যাবে জানো না।"
