Writer,Title,Song
Sheilh Istiak,নিঃসঙ্গতার সঙ্গী নেই,"“তুমিহীনতার কোন যুক্তি নেই

নি:সঙ্গতার সঙ্গী নেই

তবুও ভোর এলো আমায় কাঁদাতে

দুপুর রোদে চোখে জল শুকাতে

তুমি নেই, আমার কোন অভিযোগ নেই।

প্রেম নামে অহেতুক বিলাসীতা নেই

তাই শ্বাসরুদ্ধকর কষ্ট নেই

তবুও রাত এলো আমায় ভাবাতে

ভোরের অনেক আগে ঘুম ভাঙ্গাতে

তুমি নেই, আমার কোন অভিযোগ নেই।

তুমি নেই বলে শত সুরের মায়ায়

আমি গান থামাতে পারিনি

তুমি নেই বলে কলমে অশ্রু ভরে

আমি কান্না লিখতে শিখেছি

তবুও কেন জানি ভালবাসায় কথায়

মিশে ভয় গাঁথে হৃদয়ে

ক্ষতি নেই, আমার কোন অভিযোগ নেই

তুমি নেই, আমার কোন অভিযোগ নেই।

তুনি নেই বলে ভুলেও বলবোনা

নতুন ভালবাসা আসেনি

তুমি নেই বলে আমি স্বপ্ন দেখার ভয়ে

ঘুম তাড়িয়ে দিয়েছি

তবুও কেন জানি পুরোনো স্মৃতির মায়ায়

মিছে আশা জাগে হৃদয়ে

ভাল নেই, আমার কোন অভিযোগ নেই

তুমি নেই, আমার কোন অভোযোগ নেই।

অবিশ্বাসের কোন সত্যি নেই

আর একাকীত্বে কোন কৃতিত্ব নেই

তবুও গৌধূলী শোকের ছোঁয়াতে

মন কাঁদে সূর্যের বিদায়ে

তুমি নেই, আমার কোন অভিযোগ নেই।

অভিমানের কোন মানে খুজিনি

আর অনুরাগের অবসর আসেনি

তবুও অনুনয়, শুধু তোমাকে

আরেরকটিবার এসো এই জীবনে

তুমি নেই, আমার কোন অভিযোগ নেই।”"
Sheilh Istiak,ঐ রঙধনু থেকে কিছু কিছু রঙ এনে দাও না,"ঐ রঙধনু থেকে কিছু কিছু রঙ এনে দাও না

তুমি মনের মাধুরী সাথে মিশিয়ে

আমাকে আপন করে নাও না।।

কত দিন বলেছি বকুলের ফুল এনো মালা গাঁথবো

কত দিন সেধেছি শিশিরে ভেজা ঘাসে আঁচল ছড়াবো।

তুমি এমন কেন তোমার কী সাধ ঐ হয় না।।

তুমি কী দেখছো আকাশ কেমন করে মেশে সাগরে

তুমি কী শুনেছ আমার যত গান তোমাকে ঘিরে।

তুমি নিরব কেন বুঝেও কি কিছুই বোঝ না।।"
