Writer,Title,Song
Ador,প্রেম তুমি,"আমার কল্পনা জুড়ে যে গল্পেরা ছিল

আড়ালে সব লুকানো

সেই গল্পেরা সব রঙীন হলো পলকে

তোমাকে হঠাৎ পেয়ে যেন

প্রেম তুমি আসবে এভাবে

আবার হাড়িয়ে যাকে ভাবিনি

আজও আছে সে পথ শুধু নেই তুমি

বলবো কোথায় আছো অভিমানী

সব থেকেও কি যেন নেই

তোমাকে তাই খুঁজে যাই প্রতিক্ষনে

আমার ভাললাগা গুলো সব

তোমায় ভেবে সাজে রোজ রোজ এই মনে

চেয়ে থাকা দূর বহুদূর

যে পথে আজো রয়ে গেছ স্মুতির পাতায়

এসো না একটি বার

স্বপ্ন যত সাজাতে আবার শুনছো কি আমায়"
Ador,আকাশ-পৃথিবী,"হৃদয়ের শাদা রঙটুকু সব

হয়েছে কেবলই নোনা৷

না-পাওয়ার চাপা আর্তনাদে,

অবেলায় ঝড়া পাতা৷

আকাশ-পৃথিবী আর ঘড়ির কাঁটা,

অসম এই বোঝাপড়া৷

ভালোলাগার নয়নতারাগুলো মাঝে,

দিলোনা আমায় কোনো ভালোবাসা৷

সূর্যের স্পর্শে অভিমান জানি

হবেনা কখনো ছোঁয়৷

অবুঝ-বোবা হয়ে ক্লান্তি ফিরে

নি:শ্বাসে বাড়ায় নীরবতা৷"
