Writer,Title,Song
Mukul Dutta,কোন পাখি ধরা দিতে চায়,"কোন পাখি ধরা দিতে চায়

অসীম আকাশ ফেলে সোনার খাঁচায়

তুমি তার নাম বলে দাও, দাও, দাও।

আমার পথটি দূরে অজানা আঁধারে মিশে যায়

ভুল নামে পিছু থেকে কে জানে কে ডেকেছে আমায়।

যে ডাক শেকল হয়ে বেঁধে নিতে চায়

তুমি তার নাম বলে দাও, দাও, দাও।।

যদি দূরের ডাকের মতো অতি কাছে

পুরনো চিঠির কোণে দ্যাখো কারো নাম লেখা আছে

তার স্মৃতির পরশটুকু রেখে গেছে

হারানো দিনের মাঝে দ্যাখো তার নীড় বাঁধা আছে

পেয়েছি অনেক কিছু তবুও আরো কী মন চায়

পথের পাথেয় বুঝি আরো কিছু বাকি থেকে যায়

যে গান চোখের কোলে বাঁধ ভেঙে দেয়

তুমি তার নাম বলে দাও, দাও, দাও।।"
Mukul Dutta,তারে আমি চোখে দেখেনি,"ওম… তারে আমি চোখে দেখেনি

তার অনেক গল্প শুনেছি

গল্প শুনে তারে আমি অল্প অল্প ভালবেসেছি।।

আসতে যেতে ছলকিয়া যায়রে যৌবন।

বলতে পারে না তার ও বিবস মন

ভালবাসার ভাল কথা শুনে নাকি

শিহরিয়া যায় শুনেছি।।

চোখেতে তার স্বপ্ন শুনি ভীড় করে থাকে।

মরণ শুনেছি হাত ছানি দিয়া ডাকে

বিষের আবার ভাল মন্দ

কিরে যখন আমি মরতে বসেছি।।"
Mukul Dutta,আহা! না রয়না বাঁধা রয়না থৈ থৈ মন কিছুতেই,"আহা! না রয়না বাঁধা রয়না থৈ থৈ মন কিছুতেই

সাধে তারে কে দেয়ায়!

রিম্‌ঝিম্‌ রিম্‌ঝিম্‌ রিম্‌ঝিম্‌ বরষে বাদরিয়া।

আহা! না কয়না কথা কয়না থৈ থৈ মন কিছুতেই

সাধে তারে কে দেয়ায়!

রিম্‌ঝিম্‌ রিম্‌ঝিম্‌ রিম্‌ঝিম্‌ বরষে বাদরিয়া।

এই বৃষ্টি অনাসৃষ্টি সুরে গান গায়

যত কানা হীরা -পান্না হয়ে ভেসে যায়

তুমি আসবে বসে ভাবতে ভাল লাগছে বরষায়

রুম্‌ঝুম্‌ রুম্‌ঝুম্‌ রুম্‌ঝুম্‌ এলনা তো বঁধুয়া

আহা! না রয়না, আহা! না কয়না, আহা! না রয়না বাঁধা রয়না…

সারা অঙ্গে কোন বন্যা যেন ডেকে যায়

কোন শূন্যে এই লগ্নে মন চলে যায়

সে তো আসছে বসে ভাবতে ভাল লাগছে জোছনায়

রুম্‌ঝুম্‌ রুম্‌ঝুম্‌ রুম্‌ঝুম্‌ এল বুঝি বঁধুয়া

আহা! না রয়না, আহা! না কয়না, আহা! না রয়না বাঁধা রয়না…"
Mukul Dutta,আমার পূজার ফুল,"আমার পূজার ফুল

ভালোবাসা হয়ে গেছে

তুমি যেন ভুল বুঝোনা ।।

মালা গেঁথে রেখেছি

পরাবো তোমায়

তুমি যেন ছিঁড়ে ফেলোনা

যে কথা যায়না বলা

শুধু বোঝা যায়

মনের গভীরে

শুধু আলো হয়ে রয়ে যায় ।।

সে রঙিন আলোর দ্বীপ কোনদিনও

নিভে যাবেনা।

জানিনা কেমন করে কি দেবো তোমায়

মন ছাড়া আর কিছু নেইতো আমার

সুখের শ্রাবণ যদি মেঘ নিয়ে আসে

ভিজে যাবো অঙ্গনে তোমার বরষায় বসে

বিজলীর আগুনেতে লেখা নাম

কোনদিনও মুছে যাবেনা"
Mukul Dutta,জীবনপুরের পথিকরে ভাই,"জীবনপুরের পথিকরে ভাই

কোন দেশে সাকিন না

কোথাও আমার মনের খবর পেলাম না।।

খেয়াল পোকা যখন আমার মাথায় নড়ে চরে

আমার তাসের ঘরের বশতি হে অমনি ভেঙ্গে পরে।

তখন তালুক ছেড়ে মুলুক ফেলে

হইরে ঘরের বার (বন্ধুরে) আমি।

কোথাও আমার মনের খবর পেলাম না।।

মন চলে আগে আগে আমি পরে রই (বন্ধু)।

সোনার পিঞ্জর দিলাম বাধে বাসা কই

পাখি বাধে বাসা কই

অকূল গাঙ্গে ভাসলাম আমি

কূলের আশা ছাড়ি (বন্ধুরে) তবু।

কোথাও আমার মনের খবর পেলাম না।।"
Mukul Dutta,গুলমোহরের ফুল ঝরে যায়,"গুলমোহরের ফুল ঝরে যায়

বনে বনে শাখায় শাখায়।

কেন যায় কেন যায়

বাহারের মন ভেঙ্গে যায়।।

মরমী পথের মাঝে কেন যে পথ ভুলে যায়।

মরণের মুখে আবার কেন সে মন ফেলে যায়

কেন যায় কেন যায়

বাহারের মন ভেঙ্গে যায়।।

এ পাহাড় আসবে আবার ভ্রমরা পাতবে আসর। (আ…আ…আ…)

এ রঙের ফুল বাগানে জোনাকিরা জাগবে বাসর

শরমের আড়াল দিয়ে বল তো কে সরে যায়

দরদের পরশ দিয়ে কেন যে সে ফিরে যায়

কেন যায় কেন যায়

বাহারের মন ভেঙ্গে যায়।।"
Mukul Dutta,তোমাদের আশীর্বাদে,"তোমাদের আশীর্বাদের

এই শতদল মাথায় রাখি।

তোমাদের ভালবাসার

এই মনিহার বুকে রাখি

এই শতদল মাথায় রাখি।।

পরের মত আমায় যেন রেখো না তো দূরে

ডেকো নিও আপন করে মনের মন্দিরে

আমার পুজার অর্ঘ নিয়ে আমি

সেই আশাতে বসে থাকি

এই শতদল মাথায় রাখি।।

আমি তোমার বন্ধু আমায় ভুলে যেও না

শুকনো ফুলের মালার মত ফেলে দিও না।

আমার সুখের কনকচাঁপা তোমায় দেবো বলে সাজিয়ে রাখি

এই শতদল মাথায় রাখি।।"
Mukul Dutta,এই যে নদী যায় সাগরে,"এই যে নদী যায় সাগরে

কত কথা সুধাই তারে

এতো জানে তবু নদী

কথা বলেনা কথা বলে না

কেন বলে না কেন বলে না।।

কেউ যায়রে বন্ধুর বাড়ি

নাও বাইয়া উজানে

কেউ শাঁখা ভাইঙা সিঁদুর

ধুইয়া ফিরে ভাটির টানে

কারো আশার তরী বন্ধু

পায় নারে কিনারা

ভালোবাসা মরণ হইয়া

কারো করে ঈশারা

এতো জানে তবু নদী

কথা বলেনা কথা বলে না।।

কারো কপাল ভাঙে যেমন

নদী ভাঙে তার কূল

সারাজীবন ধইরা তবু

ভাঙে না তার ভুল

ব্যথার বিষে অশ্রু মিশে

যেন ভালোবাসা হয়

কেউ অকূলে কূল পায় রে

কারো ভরাডুবি হয়

এতো জানে তবু নদী

কথা বলেনা কথা বলেনা

কেন বলেনা কেন বলেনা।।"
Mukul Dutta,বন্ধু তোমার পথের সাথীকে চিনে নিও,"বন্ধু তোমার পথের সাথীকে চিনে নিও

মনের মাঝেতে চিরদিন তাকে ডেকে নিও

ভুলো না তারে ডেকে নিতে তুমি।।

খুশির খেয়ালে পাল তুলে যেও চিরদিন

হাসি আর গানে শোধ করে যেও যত ঋণ

স্মৃতির পটেতে যত ব্যথা আছে ভুলে যেও

ভুলো না তারে ডেকে নিতে তুমি।।

সমুখে রয়েছে পথ চলে যাও চলে যাও

পিছনে যা কিছু টানে ফেলে যাও ফেলে যাও।

আলোর পরশে ভোর হয়ে যাবে এই রাত

কোনদিন ভুলে ছেড়ো না তো তুমি এই হাত

ফুল হারানো দিনে তাকে তুমি সাথে নিও।।"
