Writer,Title,Song
Polli Kobi Joshim Uddin,রঙিলা রঙিলা রঙিলা রে রঙিলা,"রঙিলা রঙিলা রঙিলা রে রঙিলা

আমারে ছাড়িয়ারে বন্ধু

কই গেলা রে বন্ধু

কই রইলা রে

আমারে ছাড়িয়ারে বন্ধু

কই গেলা রে

তুমি হইও গাঙ রে বন্ধু

আমি গাঙের পানি

জোয়ারে ভাটাতে হবে

নিতই জানাজানি রে বন্ধু

নিতই জানাজানি

তুমি হইও ফুল বন্ধু

আমি হবো হাওয়া

দেশ বিদেশে ফিরবো আমি

হইয়া মাতেলা রে

হইয়া পাগেলারে

সেকালে কইছিলোরে বন্ধু

হস্ত দিয়া মাথে

তোমার মালার ফুল হইয়া

ফুইটা রব সাথে রে

ফুইটা রব সাথে

খালি কণ্ঠ খালি রইল

না পরিলাম মালা

না আইলো মোর প্রাণের পতি

(হায় হায় রে…)

ডুইবা গেলো বেলা রে

ডুইবা গেলো বেলা"
Polli Kobi Joshim Uddin,আমায় ভাসাইলি রে আমায় ডুবাইলি রে,"উথালী পাথালী আমার বুক আমার মনে তে নাই সুখ রে

আমায় ডুবাইলিরে…… আমায় ভাসাইলি রে,

অকুল দরিয়ায় বুঝি কূল নাই রে।

আমায় ভাসাইলি রে, আমায় ডুবাইলি রে

অকুল দরিয়ার বুঝি কূল নাই রে।।

কুল নাই সীমা নাই অথৈ দরিয়ার পানি

দিবসে নিশিথে ডাকে দিয়া হাতছানি রে

অকুল দরিয়ার বুঝি কূল নাই রে।।

পানসা জলে সাঁই ভাসায়ে সাগরেরও বানে ।।

আমি জীবনের ভেলা ভাসাইলাম।

কেউ না তা জানে রে।।

অকুল দরিয়ার বুঝি কূল নাই রে।।

আমায় ডুবাইলি রে

আমায় ভাসাইলি রে,

আসমান চাহে দরিয়া পানে

দরিয়া আসমান পানে ।।

আরো লক্ষ বছর পার হইল

কেউ না তা জানে

অকুল দরিয়ার বুঝি কূল নাই রে।।

আমায় ডুবাইলি রে

আমায় ভাসাইলি রে,

কুল নাই সীমা নাই অথৈ দরিয়ার পানি

দিবসে নিশিথে ডাকে দিয়া হাতছানি রে

অকুল দরিয়ার বুঝি কূল নাই রে।।

আমায় ডুবাইলি রে

আমায় ভাসাইলি রে,"
Polli Kobi Joshim Uddin,আমায় এত রাতে ক্যানে ডাক দিলি,"আমায় এত রাতে ক্যানে ডাক দিলি প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি ।।

নিভা ছিল মনের আগুন জ্বালাইয়া গেলি প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি…

আম ধরে থোকা থোকা তেতুল ধরে ব্যাকা…হায়রে তেতুল ধরে ব্যাকা

আমার আসবে বলে শ্যাম কালাচাঁন নাহি দিল দেখা প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি……

আমার শিয়রে শাশুড়ী ঘুমায় জলন্ত নাগিনী… হায়রে জলন্ত নাগিনী ।।

আমার পৈঠানে ননদী শুয়ে দুরন্ত ডাকিনী প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি…

আম গাছে আম ধরে জাম গাছে জাম……হায়রে জাম গাছে জাম ।।

আমি পন্থের দিকে চাইয়া থাকি

আসেনি মোর শ্যাম প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি প্রাণ কোকিলা রে

প্রাণ কোকিলা রে

বন্ধুর বাড়ী আমার বাড়ী মইধ্যে জলের বেড়া

ওরে হাত বাড়াইয়া দিছে পাঢ কপাল দেখি পোড়া

প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি প্রাণ কোকিলা রে

আমায় এত রাতে ক্যানে ডাক দিলি"
Polli Kobi Joshim Uddin,আমার হাড় কালা করলাম রে,"আমার হাড় কালা করলাম রে

আমার দেহ কালার লাইগা রে

আরে আমার অন্তর কালা করলাম রে

দুরন্ত পরবাসে

মন রে, ওরে হাইলা লোকের লাঙ্গল বাঁকা

জনম বাঁকা চাঁদরে জনম বাঁকা চাঁদ।

হায়রে, তার চাইতে অধিক বাঁকা

আমি যারে দিসি প্রাণরে, দুরন্ত পরবাসে।।

(ওরে) মন রে, আরে কূল বাঁকা গাঙ বাঁকা

বাঁকা গাঙের পানি রে, বাঁকা গাঙের পানি

আরে, সকল বাঁকায় বাইলাম নৌকা

তবু বাঁকা রে না জানি রে, দুরন্ত পরবাসে।।

(ওরে) মন রে, ওরে হাড় হইল জড় জড়

অন্তর হইল গুড়া রে, আমার অন্তর হইল গুড়া

পিড়িতি ভাঙ্গিয়া গেলে, নাহি লাগে জোড়া রে

দুরন্ত পরবাসে।।"
