Writer,Title,Song
Akhter Feroj,এই দিন চিরদিন রবে,"এই দিন চিরদিন রবে

কেউ তা ভেবোনা

একদিন সাথী হারা হবে

কেউ তো রবেনা

একদিন সব খেলা ফেলে

একা পথে যেতে হবে চলে।।

এ জীবন যতদিন তোমারই

সত্যর পথ খুজে নাও

এ রঙিন হাসি গান সুখেরই

স্বপ্নের দিন ভুলে যাও।।

একদিন সব খেলা ফেলে

একা পথে যেতে হবে চলে।।

এই মন কত খেলা খেলেছে

মিথ্যের হাসি নয়নে

এই পথ আলো হয়ে মিশেছে

জীবনের শেষ যেখানে।

একদিন সব খেলা ফেলে

একা পথে যেতে হবে চলে।।"
Akhter Feroj,কেমন করে হায় বলবো তোমাকে,"কেমন করে হায় বলবো তোমাকে

বন্ধু আমি তোমায় ভালোবাসি।।

এখন করি কি উপায়

এই মন রাখা যে দায়।

রঙ্গিন নেশার এই মনে রঙ লেগেছে

তাই চোখে চোখে বলছি ইশারায়।

সুনীল আকাশ এই প্রানে বান ডেকেছে

তাই মেঘে মেঘে ঘুরছি অজানায়।"
