Writer,Title,Song
Chomok Hasan,গল্পের জাদুকর,"এই ব্যস্ত নগরের অলিগলি ধরে কোন এক জোছনা রাতে

হাঁটছিল সে নিয়ন আলোতে ক’টি নীলপদ্ম হাতে

হাঁটতে হাঁটতে পৌঁছে গেল ময়ূরাক্ষীর তীরে যেই

হঠাৎ দেখে শূন্য সবই কোথাও কেউ নেই

রুপা একা জানালায় এখনও জানে না সে হায়

হিমু আর কোনদিন, কোনদিন আসবে না

সব যুক্তির মায়াজাল রহস্যের সব দেয়াল

মিসির আলী আর কোনদিন, কোনদিন ভাঙবে না

পেয়ে গেছে খবর সে, তাই প্রার্থনা নিরন্তর

তুমি শান্তিতে ঘুমাও গল্পের জাদুকর!

আর কোন ট্রেনে হবে না ফেরা তার গৌরীপুর জংশনে

বিশুদ্ধ মানুষ হতে পারবে কি শুভ্র প্রশ্ন রয়েই যাবে মনে

গৃহত্যাগী জোছনায় দরদী গলায় গাতক মতি মিয়া গাইবে না

হাওরের মাঝি আর করবে না পারাপার, ভাটির দেশের নাও বাইবে না

চিত্রা, বাদল, জরী, পারুল হারালো অচিনপুরেই

শেষে, অনন্ত নক্ষত্রবীথি ছাড়া আর কোথাও কেউ নেই

রুপা একা জানালায় এখনও জানে না সে হায়— গল্পের জাদুকর

বিতর্কের জাল জানি রবে চিরকাল ঘিরে তোমারই চারিদিকে

তবু তুমি রবে বেঁচে তোমার সৃষ্টির মাঝে তোমারই এ নন্দিত নরকে

তোমারই সাথে কত অদ্ভুত পথে যে পথিক হেঁটে গেছে আলো আঁধারে

তুমি রবে বেঁচে সেই পথিকের বুকে ভালোবাসার শঙ্খনীল কারাগারে"
Chomok Hasan,গণিত অলেম্পিয়াডের গান,"মন মেলে শোন্, শুনতে পাবি বিজয়ের আহবান

গণিতের ধ্বনিতেই বাজে ঐ মুক্তির জয়গান

গণিতের প্রতি আছে যতো ভীতি আজ হবে সব দূর,

আজ লক্ষ প্রাণের ঐকতানে বাজবে একই সুর—

আয় আয় আয় কে স্বপ্ন দেখবি আয়

আয় আয় আয় গণিতের আঙ্গিনায়

আয় আয় আয় কে দেশটা গড়বি আয়

আয় আয় আয় গণিতের আঙ্গিনায়

একটি মানুষ দেখলে ম্বপ্ন, স্বপ্ন তারে কয়

দুজন দেখলে একই স্বপ্ন সেও তো স্বপ্ন রয়

যদি লক্ষ কোটি প্রাণ দোলে একই স্বপ্ন মূর্ছনায়

সে আর তখন থাকেনা স্বপন, সত্যি হয়ে যায়।

আয় গণিতের পথ বেয়ে, আয় নবীনেরা সব ধেয়ে

দ্যাখ, আশা নিয়ে এক জাতি আছে আজ তোদেরই পানে চেয়ে

এই দেশ জাগাবি গণিতের জীয়ন কাঠির ছোঁয়ায়

আয় আয় আয় কে স্বপ্ন দেখবি আয়

আয় আয় আয় গণিতের আঙ্গিনায়

আয় আয় আয় কে দেশটা গড়বি আয়

আয় আয় আয় গণিতের আঙ্গিনায়

কত না ধাঁধা গণিতের বাধা যেতে হবে পেরিয়ে

সংখ্যার বৈচিত্রের মাঝে যাবি নাকি হারিয়ে?

যদি দেশপ্রেম বুকে, গণিতে সুখে করিস বিচরণ

একদিন সত্যিই মিলে যাবে এ দেশের সমীকরণ

আর নেই কোন সংশয়, আজ গণিত করবি জয়

গণিতের ভাষাতে রাখবি বিশ্বে স্বদেশের পরিচয়

আমরাও পারি যে হতে সেরা বিশ্ব দেখবে তা-ই…

আয় আয় আয় কে স্বপ্ন দেখবি আয়

আয় আয় আয় গণিতের আঙ্গিনায়

আয় আয় আয় কে দেশটা গড়বি আয়

আয় আয় আয় গণিতের আঙ্গিনায়।"
