Writer,Title,Song
Mujib Pardeshi,কান্দিস না রে বিন্দিয়া,"ও ও বিন্দিয়া ও ও বিন্দিয়া

কান্দিস না রে

কান্দিস না রে বিন্দিয়া

কি আর হইব কান্দিয়া

কবুল কইরা স্বামীর ঘরে

যাইবি চলিয়া

কান্দিস না রে

কান্দিস না রে বিন্দিয়া

কি আর হইব কান্দিয়া

কবুল কইরা স্বামীর ঘরে

যাইবি চলিয়া

কান্দিস না রে

কান্দিস না রে।

বাপ মা ভাই ব্রাদার

দেখতে যাইব তোরে আবার।।

স্বামীর ঘরে সুখে থাকিস

জীবন ভরিয়া

কান্দিস না রে

কান্দিস না রে বিন্দিয়া

কি আর হইব কান্দিয়া

কবুল কইরা স্বামীর ঘরে

যাইবি চলিয়া

কান্দিস না রে

কান্দিস না রে।

মাইয়া মাইনষের এই তো জীবন

পর মানুষ হয় যে আপন

ও ও ও ও

মাইয়া মাইনষের এই তো জীবন

পর মানুষ হয় যে আপন

যাইতে হয় যে শ্বশুর বাড়ি

পালকি চড়িয়া।

কান্দিস না রে

কান্দিস না রে বিন্দিয়া

কি আর হইবো কান্দিয়া

কবুল কইরা স্বামীর ঘরে

যাইবি চলিয়া

কান্দিস না রে

কান্দিস না রে।

ও ও বিন্দিয়া ও ও বিন্দিয়া

কান্দিস না রে

কান্দিস না রে

কান্দিস না রে

কান্দিস না রে।"
Mujib Pardeshi,আমার মনের আগুন জ্বলে দ্বিগুণ তোমারে না পাইয়া,"আমার মনের আগুন জ্বলে দ্বিগুণ তোমারে না পাইয়া

পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা

বন্ধু ফিরা তো আর আইলানা।।

পাশানে বান্ধিয়া হিয়া —-

সব নিল কাহাড়িয়া ।

তুমি কোন পরানে আছ বন্ধু

কোন পরানে এ আছ বন্ধু

থোইয়া গেলা না

পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা

বন্ধু ফিরা তো আর আইলানা।।

মনের ঘরে দাগা দিয়া

বন্ধু গেলা চলিয়া ।

আমার আশার তরী আশায় রইল

আশার তরী আশায় রইল

তুমি বাইলানা

পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা

বন্ধু ফিরা তো আর আইলানা।।"
Mujib Pardeshi,আমার সোনা বন্ধুরে তুমি কোথায় রইলা রে,"আমার সোনা বন্ধুরে তুমি কোথায় রইলা রে।

দিনে রাইতে তোমায় আমি

দিনে রাইতে তোমায় আমি খুইজা মরি রে।।

প্রথম দেখার কালে বন্ধু কথা দিয়েছিলে

ভুলিবে না মোরে এ জীবন গেলে।।

যদি না পাই তোমারে আমার জীবনের তরে

সোনার জীবন আঙ্গার হইব।।

তোমার লাইগা রে ।

ভুলতে পার বন্ধু তুমি আমি ভুলি নাই

পর কালে যেন বন্ধু

মরন কালে যেন বন্ধু একবার তোমায় পাই।

যদি না পাই সে কালে প্রেম যাইব বিফলে

তখন কিন্তু বলব আমি , তখন কিন্তু বলব আমি

প্রেম কিছুই না রে ।।"
Mujib Pardeshi,আমি কেমন করে পত্র লিখি গো বন্ধু,"আমি কেমন করে পত্র লিখি গো বন্ধু

গ্রাম পোস্ট অফিস নাই জানা

তোমায় আমি হলেম অচেনা

বন্ধুরে হইতা যদি দেশের দেশী

ঐ চরণে হইতাম দাসীরে

আমি দাসী হইয়া সঙ্গে যাইতাম রে বন্ধু

শুনতামনা কারো মানা

বন্ধুরে শুইলে না আসে রে নিদ্রা

ক্ষণে ক্ষণে আসে তন্দ্রা গো

আমি স্বপন দেখে জেগে উঠি রে বন্ধু

কেন্দে ভিজাই বিছানা"
