Writer,Title,Song,syn_prompt
Amzad Hossain,আমি আছি থাকবো,"আমি আছি থাকবো ভালবেসে মরবো

দোহায় লাগে তোমার আমারে পাগল কইরো না।।

আঁচলে ফুল রেখেছি তোমায় দিল বলে

কপালে টিপ দিয়েছি যাব সময় হলে।

দোহায় লাগে তোমার ঘরের বাহির কইরো না।।

আগুনে হাত দিয়েছি পুড়ে যাব বলে

ভালবাসার সুখ নেবো আমি জ্বলে জ্বলে

দোহায় লাগে তোমার কলংকে নাম দিও না।।",
Amzad Hossain,তোমার দুনিয়া দেখিয়া শুনিয়া,"তোমার দুনিয়া দেখিয়া শুনিয়া

মনের আগুন দ্বিগুন হইলো জ্বলিয়া পুড়িয়া

কী হবে নালিশ করিয়া, হায় গো কী হবে বিচায় চাহিয়া।।

সবই তো জান সবই তো শোন

তবু কেন ভেঙ্গে চুড়ে সমান করো না।

তুমি দেখিয়া না দেখ চক্ষু বুইঝা থাকো।

কী হবে তোমার প্রেমে অন্তর জ্বালাইয়া

কী হবে নালিশ করিয়া, হায় গো কী হবে বিচায় চাহিয়া।।

যেখানেই থাকি জনম দুখী

কোনদিনও কারো কাছে কিছু বলবো না।

তুমি রাখ কিংবা মার যা খুশি কর

আমি আর কাঁদিবো না তোমারও লাগিয়া

কী হবে নালিশ করিয়া, হায় গো কী হবে বিচায় চাহিয়া।।",
Amzad Hossain,দুঃখ ভালোবেসে প্রেমের খেলা খেলতে হয়,"দুঃখ ভালোবেসে

প্রেমের খেলা খেলতে হয়।

আগুনে মন পুড়ে

অলঙ্কার বানাতে হয়।।

কোনদিন কোনদিন যদি আসে

আমি নাই গো পাশে

সেইদিন সেদিন বলো অবশেষে

প্রেম থাকে বিশ্বাসে।।

চিরদিন চিরদিন প্রেম বলে

আমি তো চোখের জলে

সব ঋণ সব ঋণ মুছে দিয়ে

মরবো তোমাকে নিয়ে।।",
Amzad Hossain,জন্ম থেকে জ্বলছি মাগো,"জন্ম থেকে জ্বলছি মাগো

আর কতদিন বল সইবো

আবার আদেশ করো তুমি আদেশ করো

ভাঙ্গনের খেলা খেলবো।।

আমার এ ব্যাথা ভরা গান

ফুল পাখি নিয়ে নয়

দুখে আগুনে পোড়া প্রাণ

শুধু কেঁদে কেঁদে কয়

ও মা তোমার ভাঙ্গা সংসার

কবে যে সুখে ভরে তুলবো।।

আমি তো দেখিনি আলো

জীবনে কোনদিন

এত আশা ভালবাসা

আধারে হল মলিন

দিন চলে যায় দাও বিদায়

সময় হলেই ফিরে আসবো।।",
Amzad Hossain,এই দুনিয়া এখন তো আর সেই দুনিয়া নাই,"এই দুনিয়া এখন তো আর সেই দুনিয়া নাই

মানুষ নামের মানুষ আছে

দুনিয়া বোঝাই

এই মানুষের ভীড়ে আমার

সেই মানুষ নাই।।

এই মাটির দেহ খাইলো ঘুনে

দেখলো না তো কেউ

সারা জীবন দুই নয়নে

রইলো জলের ঢেউ

আমার দুঃখের কথা কইতে গেলে

এই দুনিয়ার সবাই বলে

শোনার সময় নাই।।

হায় এখন বুঝি দারুণ সময়

বদলে গেছে দিন

কেউ আমারে চায় না দিতে

একটু সময় ঋণ

আমার মনের বাগান রইলো খালি

সে বাগানের সুজন মালি

বলো কোথায় পাই।।",
Amzad Hossain,কত কাঁনলাম কত সাধলাম আইলা না,"কত কাঁনলাম কত সাধলাম আইলা না

(ও… ও… ও…)

পথের ধুলায় পইড়া রইলাম

একবার ফিরাও চাইলা না।

দিনে দিনে দিন যে গেল

মাসে মাসে বছর ফুরাইলো

এই কি গো তার মনে ছিল

ফাকি দিয়া কোথায় লুকাইলো

চোখের পানি চোখে রইলো

পাষাণ আমার দেইখাও দেখলো না

কালো কোকিলা কি বিশ্বাসে

কাইন্দা মরে ফাল্গুন মাসে

মিথ্যা আশা ভালবাসা

এই না পিড়িত সর্বনাশা গো

এতো কিছু জাইনা শুইনা

বান্ধব আমার খবর নিল না।।",
Amzad Hossain,কেউ কোনদিন আমারে তো কথা দিল না,"কেউ কোনদিন আমারে তো কথা দিল না

বিনিসুতার মালাখানি গাঁথা হলো না

ও… এই জ্বালা যে এমন জ্বালা যায় না মুখে বলা

বুঝতে গেলে সোনার অঙ্গ (তোমার) পুড়ে হবে কালা

ও… লালন মরল জল পিপাসায় থাকতে নদী মেঘনা

(আমার) হাতের কাছে ভরা কলস তৃষ্ণা মেটে না।।

ও… ভালোবাসার অপরাধে হয়েছিল দোষী

(বলো) তাই বলে কি থেমেছিল কদমতলার বাঁশী

ও… দংশিলে পিরিতের বিষে ওঝা মেলে নারে

সেই মরণ যে সুখের মরণ দেখলাম জনম ভরে।।",
Amzad Hossain,বাবা বলে গেল আর কোন দিন গান করো না,"বাবা বলে গেল আর কোন দিন গান করো না

কেন বলে গেল সেই কথাটি বলে গেল না।।

গান যদি পৃথিবীতে নাই থাকতো

সা রে গা মা পা দা নি সা কী করে হতো।

যে ছেলেটি গুলি খেয়ে মরে গিয়ে ছিল

তাকে নিয়ে কেন এত গান গাওয়া হলো

চিরদিন সুরে কেন বলে মায়েরা

চাঁদের কপালে চাঁদ টিপ দিয়ে যা

গান যদি পৃথিবীতে ………।।

অন্ধ যে লোকটা কেন বারে বারে

কেঁদে কেঁদে গান গায় ঘুরে দ্বারে দ্বারে

প্রতিদিন রাস্তায় মিটিং এ মিছিলে

চোখে কেন জল আসে গান গেয়ে গেলে

গান যদি পৃথিবীতে ………।।

পাখিরা বলে যদি গান গাব না

তবে যেন পৃথিবীতে ভোর হবে না

সব সুর মিলে যদি করে হরতাল

আমাদের দুঃখ রবে চিরকাল

গান যদি পৃথিবীতে ………।।",
Amzad Hossain,একবার যদি কেউ ভালোবাসতো,"একবার যদি কেউ ভালোবাসতো

আমার নয়ন দুটি জলে ভাসতো

আর ভালোবাসতো

এ জীবন তবু কিছু না কিছু পেত।।

যদি এমন হতো একটি কথা

আমায় বলে কেউ ভেঙে দিত

সব নীরবতা

এ জীবন তবু কিছু না কিছু পেত।।

যদি এমন হতো একটি শ্রাবণ

আমায় কাঁদিয়ে বলে যেত সে

এইতো মরণ

এ জীবন তবু কিছু না কিছু পেত",
