Writer,Title,Song,syn_prompt
Anurup Aich,তুমি মিশে আছো আমাতে,"আজ তোমায় স্বপ্ন দেখাবো না

কল্পনায় তোমায় ভাসাবো না

তুমি মিশে আছো আমাতে

আমি মিশে রয়েছি তোমাতে।।

## মহুয়ারই গন্ধে কবিতারা ছন্দে

তোমার প্রেমের সুওে গান হয়ে যায়

মেঘ হয়ে ছুটে চলা

ফুল হয়ে ফুটে বলা

তোমার দু’পায়ে যেন

¤øান হয়ে যায়।।

## সূর্যের সম্মানে ভোরের সম্মানে

রাতের শেষে তারাদের ফাঁসি হয়ে যায়

না পাওয়ার শত ভীড়ে

আমাদের ছোট নীড়ে

সুখ-দুঃখ মিলে মিশে

হাসি হয়ে যায়।।",
Anurup Aich,তুমি আমার,"তোমার প্রেমের ঘ্রান নিয়েছি

এই দেহে তাই প্রাণ পেয়েছি।।

হৃদয়ে তোমারই নাম লিখেছি।।

তুমি আমার শুধু আমার

আমি তোমার শুধু তোমার।।

আমাকে ভুলে যেও না

বিরহের গান গেও না

কখনো দুঃখ পেও না

কখনো না

তুমি আমার শুধু আমার

আমি তোমার শুধু তোমার।।

তুমি আমার শুধু আমার

আমি তোমার শুধু তোমার

তোমাকে ছেড়ে যাব না

এত প্রেম আর পাবো না

তোমায় হারাতে দেবো না

কখনো না

তুমি আমার শুধু আমার

আমি তোমার শুধু তোমার।।",
Anurup Aich,খুঁজে খুঁজে,"তোমাকে খুঁজে পাই ঐ নীল আকাশে

পাই যে খুঁজে ঐ মিষ্টি বাতাসে।।

তোমায় ভালোবাসি আমি ভালোবাসি

পেতে চাই আরো কাছে, আরো কাছে

খুঁজে খুঁজে দু’চোখ বুঝে পাই তোমায় আরো কাছে,

একই ডোরে বাঁধা দু’জন থাকবো সারা জনম ধরে।

কপালের ঐ টিপ চোখেরই কাজলে,

তোমাকে জড়িয়ে রাখবো প্রেমেরই আঁচলে।

রংধনুর রঙে নয়, নয় ঝর্না ধারাতে

তোমার উপমা খুঁজি দু’চোখের তারাতে।

খুঁজে খুঁজে দু’চোখ বুঝে পাই তোমায় আরো কাছে,

একই ডোরে বাধা দু’জন থাকবো সারা জনম ধরে।

তুমি ফুল হয়ে সুরোভী ছড়ালে,

প্রেমেরই চাদরে হৃদয় জড়ালে।

দাওনা তুমি দু’হাত বাড়িয়ে,

ভালোবেসে যেতে চাই তোমাতে হারিয়ে।

খুঁজে খুঁজে দু’চোখ বুঝে পাই তোমায় আরো কাছে,

একই ডোরে বাধা দু’জন থাকবো সারা জনম ধরে।",
Anurup Aich,এক জীবন – ২,"জীবন এতো সুখের হলো আমার পাশে তুমি আছ তাই

এক জীবনে এর চেয়ে বেশি আমার যে আর চাওয়ার কিছু নাই

তোমার আমার ভালবাসা শেষ হওয়ার নয়

শুধু তোমায় কাছে চায় এ হৃদয়

ওগো তোমায় নিয়ে

আমি পাড়ি দিয়ে

যেতে চাই সুখেরই দেশে হারিয়ে ।।

দিন গেল মাস গেল

গেল বহু বছর

তবু যেন শেষ হয় না ভালবাসার প্রহর

তুমি আমার ঘরে আসো পূর্নিমা হয়ে

এই জীবন সাজিয়েছ তুমি পূর্ণতা দিয়ে

ওগো তোমায় নিয়ে

আমি পাড়ি দিয়ে

যেতে চাই সুখেরই দেশে হারিয়ে ।।

তুমি আমি ভালবেসে থাকবো জীবন ভর

মরণ যেন আমাদের করে না তো পর

তোমায় নিয়ে সারা জীবন কাটাতে চাই

তুমি ছাড়া এই আমার আপন কেহ নাই

ওগো তোমায় নিয়ে

আমি পাড়ি দিয়ে

যেতে চাই সুখেরই দেশে হারিয়ে ।।",
Anurup Aich,হৃদয়ের গহিনে,"আলোরই ঝলকে চোখেরসই পলকে

এই মনের ভালবাসা উঁকি মারে হায়

এই হৃদয় গহিনে রেখেছি তোমাকে

তুমি হিনা বড় একা ,একা লাগে হায়

তাই আমি চাই ভালবাসতে তোমায়

কাছে এসে ভালোবাসা দাওনা আমায়।

প্রেমের ই বাধনে রাখব যে তোমাকে ধরে

এ বাধন কিছুতেই কোনদিন ও যাবেনা ছিড়ে।

রাখব তোমায় ভালোবাসার

এই মনের মণিকোঠায়

তাই আমি চাই ভালবাসতে তোমায়

কাছে এসে ভালোবাসা দাওনা আমায়

ভালোবেসে মনটা তোমাকে দিয়েছি যখন

তোমাকে জড়িয়ে রাখব সারাটা জীবন ।।

তোমার ই জন্য জীবন ধন্য

হয়েছি এই দুনিয়ায়

তাই আমি চাই ভালবাসতে তোমায়

কাছে এসে ভালোবাসা দাওনা আমায়",
Anurup Aich,এক জীবন,"তুমি আমি কাছাকাছি আছি বলেই,

এ জীবন হয়েছে মধুময়…

যদি তুমি দূরে কভু যাও চলে,

শুধু মরণ হবে আর কিছু নয়..

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়

তোমারি পরশে ভালোবাসা,

আসে মনেরই আঙ্গিনায়

নয়ন ভরে দেখি তোমায়,

তবু বুঝি দেখার শেষ নাই

তোমারি পরশে ভালোবাসা,

আসে মনেরই আঙ্গিনায়

নয়ন ভরে দেখি তোমায়,

তবু বুঝি দেখার শেষ নাই

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়

সুখেরই সাগরে ঢেউয়ে ঢেউয়ে,

দুজনে একসাথে ভেসে যাই

ভেসে ভেসে ভালবেসে,

সারা জীবন বাঁচতে চাই

সুখেরই সাগরে ঢেউয়ে ঢেউয়ে,

দুজনে একসাথে ভেসে যাই

ভেসে ভেসে ভালবেসে,

সারা জীবন বাঁচতে চাই

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়

তোমায় ছেড়ে বহুদুরে যাব কোথায়

এক জীবনে এত প্রেম পাব কোথায়",
