Writer,Title,Song,syn_prompt
Ananda,সিনায় সিনায়,"নিমন্ত্রণ রইল আমার বাড়ি,

নিমন্ত্রণ রইল সবার,

ফিরতি পথে এসো তুমি,

ঠিকানা আমার পথের ধূলি।

নিমন্ত্রণ রইল আমার বাড়ি,

নিমন্ত্রণ রইল সবার,

রোদের ভিতর রোঁদ হয়ে

ওম দেব তোর বুকের ভিটায়।

সিনায় সিনায় লাগে টান, সিনায় সিনায়।।

এসো চোরা পথ ধরে

এসো চোরা ময়দানে,

এসো জোছনা ধোয়া দীঘির জলে,

এসো চোরা পথ ধরে

এসো চোরা ময়দানে,

এসো জোছনা ধোয়া দীঘির জলে,

মুক্তির স্নান শেষে।

সিনায় সিনায় লাগে টান, সিনায় সিনায়।।

এসো বুকের গহীনে,

বাড়ীর শিথানে,

এসো পথভোলা সেই নদীর কিনারে…

এসো বুকের গহীনে,

বাড়ীর শিথানে,

এসো পথভোলা সেই নদীর কিনারে…

মুক্তির স্নান শেষে।

সিনায় সিনায় লাগে টান, সিনায় সিনায়।।

নিমন্ত্রণ রইল আমার বাড়ি,

নিমন্ত্রণ রইল সবার,

ফিরতি পথে এসো তুমি,

ঠিকানা আমার পথের ধূলি।

নিমন্ত্রণ রইল আমার বাড়ি,

নিমন্ত্রণ রইল সবার,

রোদের ভিতর রোঁদ হয়ে

ওম দেব তোর বুকের ভিটায়।

সিনায় সিনায় লাগে টান, সিনায় সিনায়।।।।।।।",
Ananda,খুলে দেখ মনটা,"খুলে দেখ মনটা

জন প্রতি জনটা

যারে ছুটে যা পথে ঘাটে

কাছে দূরে দিনটা

চলে যাবে প্রানটা

যারে নেমে যা নিশিরাতে

বুকের পেন্ডেলে হ্যাজাক বাতি

যৌবন আজ জ্বলছে

মঞ্চে আলোর পাগলা নাচন

দুলছে ভূবন, দুলছে দুলছে।

অন্তরে, পথে ঘাটে, প্রান্তরে নিশিরাতে চল সবে প্রেম ধরে আনি।

নয়ন গেলো রুপের পানে,

প্রানযে গেলো মনের টানে

হাত বাধিবে,

পা বাধিবে তোর

মন বাধিবে কে রে আপন মনে

বুকের প্যান্ডেলে হ্যাজাক বাতি…

যৌবন আজ জ্বলছে….

মঞ্চে আলোর পাগলা নাচন দুলছে ভূবন

দুলছে দুলছে!!!!

অন্তরে, পথে ঘাটে, প্রান্তরে নিশিরাতে চল সবে প্রেম ধরে আনি

সঙ্গী-সাথী যাক দূরে চলে যাক

কলঙ্ক ভয় নিসনা মনে

বিনামূল্যে বিকিয়ে দে রে

সদাই দূরের দূর টানে

বুকের পেন্ডেলে হ্যাজাক বাতি

যৌবন আজ জ্বলছে

মঞ্চে আলোর পাগলা নাচন

দুলছে ভূবন, দুলছে দুলছে।

অন্তরে, পথে ঘাটে, প্রান্তরে নিশিরাতে চল সবে প্রেম ধরে আনি।

খুলে দেখ মনটা

জন প্রতি জনটা

যারে ছুটে যা পথে ঘাটে

কাছে দূরে দিনটা

চলে যাবে প্রানটা

যারে নেমে যা নিশিরাতে

বুকের পেন্ডেলে হ্যাজাক বাতি

যৌবন আজ জ্বলছে

মঞ্চে আলোর পাগলা নাচন

দুলছে ভূবন, দুলছে দুলছে।

অন্তরে, পথে ঘাটে, প্রান্তরে নিশিরাতে চল সবে প্রেম ধরে আনি।।।।

অন্তরে…

পথে ঘাটে…

প্রান্তরে…

নিশিরাতে….

চল সবে প্রেম ধরে আনি….",
Ananda,দয়াল,"ঘরেতে জ্বালা বাহিরে তালা

তবু রাজা রাজা তোরা অন্তর বাজা

আজ মিলনের মিলনমেলায়

হবেরে হবেরে আজ গানের পালা

খোয়াবে দেখিলো দয়াল

শেষের চন্দ্রা রাতে

মানুষের কাধে মানুষের কাধ

ভালবাসা নাহি টলে

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়

দয়াল বলে ভেড়াও তরী

আছে দেহমন নাইতো কড়ি

সোহাগ দেবো ওই বুকের ভাজে

ঘর বাধিবো তোর মনের মাঝে

খোয়াবে দেখিলো দয়াল

শেষের চন্দ্রা রাতে

মানুষের কাধে মানুষের কাধ

ভালবাসা নাহি টলে

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়

আসমান পানে পরাণ মেলিয়া

জ্ঞানের লাঠি হাতে আস্তানায়

দেহ পিঞ্জিরায় আখি মুঞ্জিয়া

জোনাক ওড়ায় রাতেত জোছনায়

খোয়াবে দেখিলো দয়াল

শেষের চন্দ্রা রাতে

মানুষের কাধে মানুষের কাধ

ভালবাসা নাহি টলে

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়

আয় তোরা আয় তোরা ঘুম ছেড়ে আয়

আয় তোরা আয় তোরা গান ধরি আয়",
Ananda,যাদুর শহর,"কবি হাসে টাকা ভাসে

গঙ্গা বুড়ির শহরে

আসমান তুই কাঁদিস﻿ কেন

অট্রালিকার পাহাড়ে

মিছে হাসি মিছে কান্না

পথে পথের আড়ালে

গ্রীন সিগনাল রেড ওয়াইন

দেয়ালে দেয়ালে

এই শহর যাদুর শহর

প্রানের শহর ঢাকারে",
Ananda,পথের বাপ,"পথের বাপই বাপরে মনা,

পথের মা’ই মা,

এই পথের বুকেই খুজে পাবি

আপন ঠিকানা।

পথের দুখই দুখরে মনা

পথের সুখই সুখ

পথের ভীড়েই খুজে পাবি

অচিন প্রিয় মুখ

এই পথেই ওড়ে পথের ঘুড়ি

লাল নীল সাদা লাল

পথ থেকে পথে

বুনে যাব খালি নকশী কাথার মাঠ।

পথের বাপই বাপরে মনা,

পথের মা’ই মা,

এই পথের বুকেই খুজে পাবি

আপন ঠিকানা।

পথের প্রাণই প্রাণরে মনা

পথের টানই টান

পথের প্রাণই প্রাণরে মনা

পথের টানই টান

পথে নেমেই ভুলে যাবি মান অভিমান

পথের সুরই সুররে মনা

পথের গানই গান

পথের ধারেই ভুলে যাবি ঘরের পিছু টান

পথের দিনই দিনরে মনা

পথের রাতই রাত

পথের দিনই দিনরে মনা

পথের রাতই রাত

পথের মোড়েই খুঁজে পাবি আপন সহজাত

পথের প্রেমই প্রেমরে মনা

পথের মনই মন

পথের বাঁকেই খুঁজে পাবি হাজার প্রিয়জন

পথের বাপই বাপরে মনা,

পথের মা’ই মা,

এই পথের বুকেই খুজে পাবি

আপন ঠিকানা।

পথের দুখই দুখরে মনা

পথের সুখই সুখ

পথের ভীড়েই খুজে পাবি

অচিন প্রিয় মুখ

এই পথেই ওড়ে পথের ঘুড়ি

লাল নীল সাদা লাল

পথ থেকে পথে

বুনে যাব খালি নকশী কাথার মাঠ

পথের বাপই বাপরে মনা,

পথের মা’ই মা,

এই পথের বুকেই খুজে পাবি

আপন ঠিকানা।

পথের দুখই দুখরে মনা

পথের সুখই সুখ

পথের ভীড়েই খুজে পাবি

অচিন প্রিয় মুখ",
